level	word	pinyin	eng
2	也	yě	also, too, (in Classical Chinese) final particle implying affirmation,
2	已经	yǐ jīng	already,
2	一起	yī qǐ	in the same place, together, with, altogether (in total),
2	意思	yì si	idea, opinion, meaning, wish, desire, CL:個|个[gè],
2	阴	yīn	overcast (weather), cloudy, shady, Yin (the negative principle of Yin and Yang), negative (electric.), feminine, moon, implicit, hidden, genitalia,
2	因为	yīn wèi	because, owing to, on account of,
2	游泳	yóu yǒng	swimming, to swim,
2	右边	yòu bian	right side, right, to the right,
2	鱼	yú	fish, CL:條|条,尾[wěi],
2	元	yuán	Chinese monetary unit, dollar, primary, first,
2	远	yuǎn	far, distant, remote,
2	运动	yùn dòng	to move, to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chǎng],
2	再	zài	again, once more, re-, second, another, then (after sth, and not until then),
2	早上	zǎo shang	early morning, CL:個|个[gè],
2	张	zhāng	to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes,
2	长	zhǎng	chief, head, elder, to grow, to develop, to increase, to enhance,
2	丈夫	zhàng fu	husband, CL:個|个[gè],
2	找	zhǎo	to try to find, to look for, to call on sb, to find, to seek, to return, to give change,
2	着	zhe	aspect particle indicating action in progress,
2	真	zhēn	really, truly, indeed, real, true, genuine,
2	正在	zhèng zài	in the process of (doing something or happening), while (doing),
2	知道	zhī dào	to know, to be aware of, also pron. [zhī dao],
2	准备	zhǔn bèi	preparation, to prepare, to intend, to be about to, reserve (fund),
2	自行车	zì xíng chē	bicycle, bike, CL:輛|辆[liàng],
2	走	zǒu	to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走), to change (shape, form, meaning),
2	最	zuì	most, the most, -est (superlative suffix),
2	左边	zuǒ bian	left, the left side, to the left of,
3	阿姨	ā yí	maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child), CL:個|个[gè],
3	啊	a	modal particle ending sentence, showing affirmation, approval, or consent,
3	矮	ǎi	low, short (in length),
3	爱好	ài hào	to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[gè],
3	安静	ān jìng	quiet, peaceful, calm,
3	把	bǎ	to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful,
3	搬	bān	to move, to shift, to remove, to transport, to apply indiscriminately, to copy mechanically,
3	班	bān	team, class, squad, work shift, ranking, CL:個|个[gè], classifier for groups,
3	半	bàn	half, semi-, incomplete, (after a number) and a half,
3	办法	bàn fǎ	means, method, way (of doing sth), CL:條|条,個|个[gè],
3	办公室	bàn gōng shì	office, business premises, bureau, CL:間|间[jiān],
3	帮忙	bāng máng	to help, to lend a hand, to do a favor, to do a good turn,
3	包	bāo	to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个,隻|只[zhī],
3	饱	bǎo	to eat till full, satisfied,
3	北方	běi fāng	north, the northern part a country, China north of the Yellow River,
3	被	bèi	quilt, by, (indicates passive-voice clauses), (literary) to cover, to meet with,
3	鼻子	bí zi	nose, CL:個|个,隻|只[zhī],
3	比较	bǐ jiào	to compare, to contrast, comparatively, relatively, quite, comparison,
3	比赛	bǐ sài	competition (sports etc), match, CL:場|场,次[cì],
3	必须	bì xū	to have to, must, compulsory, necessarily,
3	变化	biàn huà	change, variation, to change, to vary, CL:個|个[gè],
3	表示	biǎo shì	to express, to show, to say, to state, to indicate, to mean,
3	表演	biǎo yǎn	play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chǎng],
3	别人	bié ren	other people, others, other person,
3	宾馆	bīn guǎn	guesthouse, lodge, hotel, CL:個|个,家[jiā],
3	冰箱	bīng xiāng	icebox, freezer cabinet, refrigerator, CL:臺|台,個|个[gè],
3	才	cái	a moment ago, just now, (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only,
3	菜单	cài dān	menu, CL:份,張|张[zhāng],
3	参加	cān jiā	to participate, to take part, to join,
3	草	cǎo	grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],
3	层	céng	layer, stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.),
3	差	chà	to differ from, to fall short of, lacking, wrong, inferior,
3	超市	chāo shì	supermarket (abbr.), CL:家[jiā],
3	衬衫	chèn shān	shirt, blouse, CL:件[jiàn],
3	成绩	chéng jì	achievement, performance records, grades, CL:項|项,個|个[gè],
3	城市	chéng shì	city, town, CL:座[zuò],
3	迟到	chí dào	to arrive late,
3	出现	chū xiàn	to appear, to arise, to emerge, to show up,
3	除了	chú le	besides, apart from (... also...), in addition to, except (for),
3	厨房	chú fáng	kitchen, CL:間|间[jiān],
3	春	chūn	spring (time), gay, joyful, youthful, love, lust, life,
3	词语	cí yǔ	word (general term including monosyllables through to short phrases), term (e.g. technical term), expression,
3	聪明	cōng ming	acute (of sight and hearing), clever, intelligent, bright, smart,
3	打扫	dǎ sǎo	to clean, to sweep,
3	打算	dǎ suàn	to plan, to intend, to calculate, plan, intention, calculation, CL:個|个[gè],
3	带	dài	band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiáo], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise,
3	担心	dān xīn	anxious, worried, uneasy, to worry, to be anxious,
3	蛋糕	dàn gāo	cake, CL:塊|块,個|个[gè],
3	当然	dāng rán	only natural, as it should be, certainly, of course, without doubt,
3	地	de	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct,
3	灯	dēng	lamp, light, lantern, CL:盞|盏[zhǎn],
3	低	dī	low, beneath, to lower (one's head), to let droop, to hang down, to incline,
3	地方	dì fang	area, place, space, room, territory, CL:處|处,個|个,塊|块[kuài],
3	地铁	dì tiě	subway, metro,
3	地图	dì tú	map, CL:張|张,本[běn],
3	电梯	diàn tī	elevator, escalator, CL:臺|台,部[bù],
3	电子	diàn zǐ	electronic, electron (particle physics),
3	冬	dōng	sound of beating a drum, onomatopoeia for rat-a-tat etc,
3	东	dōng	east, host (i.e. sitting on east side of guest), landlord,
3	动物	dòng wù	animal, CL:隻|只,群,個|个[gè],
3	短	duǎn	short or brief, to lack, weak point, fault,
3	段	duàn	paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc,
3	锻炼	duàn liàn	to engage in physical exercise, to work out, to toughen, to temper,
3	多么	duō me	how (wonderful etc), what (a great idea etc), however (difficult it may be etc),
3	饿	è	to be hungry, hungry,
3	而且	ér qiě	(not only ...) but also, moreover, in addition, furthermore,
3	耳朵	ěr duo	ear, CL:隻|只,個|个,對|对[duì],
3	发烧	fā shāo	to have a high temperature (from illness), to have a fever,
3	发现	fā xiàn	to find, to discover,
3	方便	fāng biàn	convenient, to help out, to make things easy for people, convenience, suitable, having money to spare, (euphemism) to go to the toilet,
3	放	fàng	to release, to free, to let go, to put, to place, to let out, to set off (fireworks),
3	放心	fàng xīn	to feel relieved, to feel reassured, to be at ease,
3	分	fēn	to divide, to separate, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute, a point (in sports or games), 0.01 yuan (unit of money),
3	附近	fù jìn	(in the) vicinity, nearby, neighboring, next to,
3	复习	fù xí	variant of 復習|复习, to revise, to review, revision,
3	干净	gān jìng	clean, neat,
3	敢	gǎn	to dare, daring, (polite) may I venture,
3	感冒	gǎn mào	to catch cold, (common) cold, CL:場|场,次[cì],
3	刚才	gāng cái	(just) a moment ago,
3	根据	gēn jù	according to, based on, basis, foundation, CL:個|个[gè],
3	跟	gēn	heel, to follow closely, to go with, to marry sb (of woman), with, towards, as (compared to), from (different from), and (in addition to),
