simplified	traditional	pinyin	eng	freq
禽	禽	qin2	birds/fowl	3408
勿	勿	wu4	do not	3400
娟	娟	juan1	beautiful/graceful	3385
瞄	瞄	miao2	to aim	3383
幢	幢	chuang2/zhuang4	(measure word for houses)/tents	3376
寇	寇	kou4	bandit	3354
睹	睹	du3	observe/see	3346
贿	賄	hui4	bribe/bribery	3346
踩	踩	cai3	step upon/tread on/stamp	3343
霆	霆	ting2	clap of thunder	3342
呜	嗚	wu1	(onomat. for humming)	3341
拱	拱	gong3	fold hands in salute/to arch	3339
妃	妃	fei1	imperial concubine	3338
蔑	蔑	mie4	belittle/nothing	3330
谕	諭	yu4	order (from above)	3330
缚	縛	fu2/fu4	to bind/to tie	3326
诡	詭	gui3	sly/crafty	3323
篷	篷	peng2	sail	3315
淹	淹	yan1	drown/submerge	3315
腕	腕	wan4	wrist	3314
煮	煮	zhu3	to cook/to boil	3313
倩	倩	qian4	niece/plagiarize/winsome	3311
卒	卒	cu4/zu2	abruptly/hurriedly, die/soldier	3306
勘	勘	kan1	to investigate/to survey/to collate	3303
馨	馨	xin1	fragrant	3281
逗	逗	dou4	linger	3271
甸	甸	dian4	imperial domain/suburb	3270
贱	賤	jian4	inexpensive/lowly	3270
炒	炒	chao3	saute/pan-fry/to fry/fried	3260
灿	燦	can4	glorious/bright/brilliant/lustrous/resplendent	3254
敞	敞	chang3	spacious/uncovered	3248
蜡	蠟	la4	candle/wax	3246
囚	囚	qiu2	prisoner	3242
栗	栗	li4	afraid/trembling, (surname)/chestnut	3240
辜	辜	gu1	(surname)/crime/sin	3235
垫	墊	dian4	pad/cushion/mat	3233
妒	妒	du4	jealous	3228
魁	魁	kui2	chief/head	3227
谣	謠	yao2	popular ballad/rumor	3219
寞	寞	mo4	lonesome	3217
蜀	蜀	shu3	Sichuan	3208
甩	甩	shuai3	fling	3208
涯	涯	ya2	border/horizon/shore	3206
枕	枕	zhen3	pillow	3206
丐	丐	gai4	beg for alms/beggar	3201
泳	泳	yong3	swimming/to swim	3198
奎	奎	kui2	name of constellation/stride	3194
泌	泌	bi4/mi4	secrete/pour off	3192
逾	逾	yu2	exceed/jump over, to exceed/to go beyond/to jump over	3189
叮	叮	ding1	sting (of mosquito)/to ask	3188
黛	黛	dai4	umber-black dye for painting the eyebrow	3187
燥	燥	zao4	dry/parched/impatient	3171
掷	擲	zhi4	toss	3170
藉	藉	ji2/jie4	in disorder, by means of	3169
枢	樞	shu1	hinge/pivot	3169
憎	憎	zeng1	detest	3169
鲸	鯨	jing1	whale	3158
弘	弘	hong2	great/liberal	3153
倚	倚	yi3	to lean on/rely upon	3149
侮	侮	wu3	insult	3144
藩	藩	fan1		3138
拂	拂	fu2	brush away	3135
鹤	鶴	he4	crane	3133
蚀	蝕	shi2	eat up slowly/eclipse	3131
浆	漿	jiang1/jiang4	broth/serum/to starch, starch paste	3130
芙	芙	fu2	lotus	3130
垃	垃	la1		3127
烤	烤	kao3	to roast/bake/to broil	3125
晒	曬	shai4	to sun	3124
霜	霜	shuang1	frost	3119
剿	剿	chao1/jiao3	destroy (bandits), destroy (bandits)	3112
蕴	蘊	yun4	bring together/collect	3110
圾	圾	ji1		3102
绸	綢	chou2	(light) silk	3098
屿	嶼	yu3	islet	3098
氢	氫	qing1	hydrogen	3092
驼	駝	tuo2	humpback	3084
妆	妝	zhuang1	adornment/adorn	3083
捆	捆	kun3	a bunch/tie together/bundle	3079
铅	鉛	qian1	lead (metal)	3075
逛	逛	guang4	to stroll/to visit	3074
淑	淑	shu1		3069
榴	榴	liu2	pomegranate	3068
丙	丙	bing3	the third of the ten heavenly stems/the third position/third/number three	3055
痒	癢	yang3	to itch/to tickle	3055
钞	鈔	chao1	money/paper money	3049
蹄	蹄	ti2	hoof/pork shoulder	3045
犬	犬	quan3	dog	3042
躬	躬	gong1	body/oneself/personally/to bow	3037
昼	晝	zhou4	daytime	3036
藻	藻	zao3	(aquatic grasses)/elegant	3035
蛛	蛛	zhu1	spider	3033
褐	褐	he4		3032
颊	頰	jia2	cheeks	3025
奠	奠	dian4	libation	3020
募	募	mu4	canvass for contributions/to recruit/to collect/to raise	3018
耽	耽	dan1	indulge/delay	3005
蹈	蹈	dao3	tread on/trample/stamp/fulfill	3004
陋	陋	lou4	low/humble/plain/ugly/mean/vulgar	2995
侣	侶	lu:3/lv3	companion	2994
魅	魅	mei4	demon/magic/to charm	2991
岚	嵐	lan2	mist/name of a mountain	2988
侄	侄	zhi2	nephew, nephew (of the same surname)	2987
虐	虐	nue4	oppressive/tyrannical	2979
堕	墮	duo4	degenerate/fall	2977
陛	陛	bi4	the steps to the throne	2976
莹	瑩	ying2	luster of gems	2973
荫	蔭	yin4/yin1	shade	2972
狡	狡	jiao3	crafty/cunning/sly	2971
阀	閥	fa2	clique/valve	2970
绞	絞	jiao3	hang (a criminal)/to turn/to twist/to wind	2963
膏	膏	gao1	ointment/paste	2958
垮	垮	kua3	collapse	2958
茎	莖	jing1	stalk/stem	2956
缅	緬	mian3	Burma/distant	2945
喇	喇	la1/la3	(onomat.), (phonetic)	2939
绒	絨	rong2	velvet/woolen	2929
搅	攪	jiao3	to disturb/to annoy/to mix/to stir	2922
凳	凳	deng4	bench/stool	2921
梭	梭	suo1	shuttle	2913
丫	丫	ya1	slave girl	2912
姬	姬	ji1	(surname)/women	2909
诏	詔	zhao4	imperial order	2907
钮	鈕	niu3	(surname)/button	2906
棺	棺	guan1	coffin	2901
耿	耿	geng3	(surname)/bright	2899
缔	締	di4	closely joined/connection/knot	2897
懈	懈	xie4	lax/negligent	2893
嫉	嫉	ji2	jealousy/be jealous of	2892
灶	竈	zao4	kitchen stove	2891
匀	勻	yun2	even/evenly (divided)/uniform	2890
嗣	嗣	si4	to connect, inherit/descendants, heirs	2889
鸽	鴿	ge1	pigeon/dove	2886
澡	澡	zao3	bath	2882
凿	鑿	zao2/zuo4	chisel, chisel	2880
纬	緯	wei3	latitude	2874
沸	沸	fei4	boil	2860
畴	疇	chou2	arable fields/cultivated field/class/category	2858
刃	刃	ren4	edge of blade	2858
遏	遏	e4	to stop/check	2849
烁	爍	shuo4	bright/luminous	2847
嗅	嗅	xiu4	sense of smell	2843
叭	叭	ba1	denote a sound or sharp noise (gunfire, etc.)	2842
熬	熬	ao1/ao2	to boil/stew/to simmer, endure/to boil	2841
瞥	瞥	pie1	blink/glance	2840
骸	骸	hai2	bones of the body	2836
奢	奢	she1	extravagant	2835
拙	拙	zhuo2/zhuo1	awkward/clumsy/dull/inelegant/(polite) my	2833
栋	棟	dong4	roof beam	2830
毯	毯	tan3	blanket/rug	2827
桐	桐	tong2	Aleurites cordata	2821
砂	砂	sha1	sand/gravel/granule	2820
莽	莽	mang3	Illicium anisatum/rude	2816
泻	瀉	xie4	to flow (out) swiftly/diarrhea	2816
坪	坪	ping2	a plain	2815
梳	梳	shu1	comb	2806
杉	杉	sha1/shan1	fir, (pine)	2805
晤	晤	wu4	meet (socially)	2805
稚	稚	zhi4	infantile/young	2803
蔬	蔬	shu1	vegetables	2799
蝇	蠅	ying2	fly/musca	2761
捣	搗	dao3	pound/beat/hull/attack/disturb/stir	2753
顷	頃	qing3	100 mu/a short while ago/a 'ching' (unit of area)/approx. (with dates)/a short while	2753
麽	麼	mo2/me	dimi.	2751
尴	尷	gan1	embarrassed/ill at ease	2748
镖	鏢	biao1	a throwing weapon/dart	2744
诧	詫	cha4	surprised/to wander/to be astonished	2743
尬	尬	ga4	in an embarrassing situation	2743
硫	硫	liu2	sulfur	2742
嚼	嚼	jiao2/jue2	to chew, to chew	2739
羡	羨	xian4	to envy	2739
沦	淪	lun2	perish	2738
沪	滬	hu4	Shanghai	2737
旷	曠	kuang4	waste/wilderness	2731
彬	彬	bin1	ornamental/refined	2724
芽	芽	ya2	bud/sprout	2717
狸	狸	li2	(dog)/wild cat	2715
冥	冥	ming2	dark/deep	2715
碳	碳	tan4	carbon	2711
咧	咧	lie1/lie3	child's cry, draw back corners of mouth	2707
惕	惕	ti4	fearful/respectful	2698
暑	暑	shu3	heat/hot weather/summer heat	2697
咯	咯	ge1/lo/luo4	(phonetic), part. indicating obviousness, cough (blood)/to argue/debate	2694
萝	蘿	luo2	radish	2694
汹	洶	xiong1	scared, nervous, torrential rush/tumultuous	2684
腥	腥	xing1	fishy (smell)	2677
窥	窺	kui1	peep/pry into	2673
俺	俺	an3	I (northern dialects)	2671
潭	潭	tan2	(surname)/deep	2665
崎	崎	qi2	mountainous	2662
麟	麟	lin2	female unicorn	2659
捡	撿	jian3	pick up/collect/gather	2653
拯	拯	zheng3	to raise/to aid/to support/to save/to rescue	2650
厥	厥	jue2	his/its	2650
澄	澄	cheng2/deng4	clear and still water, clear/limpid/clarify/purify/(a surname), settle (liquid)	2649
萎	萎	wei1/wei3	spiritless/withered, wither	2647
哉	哉	zai1	(exclamatory or interrog. part.)	2647
涡	渦	guo1/wo1	name of a river, eddy/whirlpool	2644
滔	滔	tao1	overflow/torrent-dash	2642
暇	暇	xia2	leisure	2641
溯	溯	su4	go upstream/trace the source	2639
鳞	鱗	lin2	scales (of fish)	2635
酿	釀	niang4	ferment/brew	2633
茵	茵	yin1	Skimmia japonica/cushion	2631
愕	愕	e4	startled	2631
瞅	瞅	chou3	to see/look/take a look at	2626
暮	暮	mu4	evening/sunset	2626
衙	衙	ya2	(surname)/office/yamen	2625
诫	誡	jie4	commandment/prohibit	2614
斧	斧	fu3	hatchet	2598
兮	兮	xi1	(part.)	2597
焕	煥	huan4	brilliant/lustrous	2595
棕	棕	zong1	palm	2590
佑	佑	you4	bless/protect, protect	2589
嘶	嘶	si1	hiss/neigh	2587
妓	妓	ji4	prostitute	2582
喧	喧	xuan1	clamor/noise, clamor/noise/deceitful	2579
蓉	蓉	rong2	lotus	2578
删	刪	shan1	to delete	2577
樱	櫻	ying1	cherry	2572
伺	伺	ci4/si4	wait on, to watch/to wait/to examine/to spy	2570
嗡	嗡	weng1	-oin (chem.) as in anisoin	2565
娥	娥	e2	good/beautiful	2557
梢	梢	shao1	tip of branch	2555
坝	壩	ba4	dam/dyke/embankment	2552
蚕	蠶	can2	silkworm	2549
敷	敷	fu1	announce/apply	2548
澜	瀾	lan2	swelling water	2539
杏	杏	xing4	apricot	2538
绥	綏	sui2	pacify	2529
冶	冶	ye3	smelt	2525
庇	庇	bi4	to protect/cover/shelter/hide or harbor	2523
挠	撓	nao2	to scratch	2523
搂	摟	lou1/lou3	graft (money)/solicit/to gather/to collect, to hug/to embrace	2512
倏	倏	shu1	sudden/abrupt	2505
聂	聶	nie4	(surname)/whisper	2503
婉	婉	wan3	graceful/tactful	2503
噪	噪	zao4	chirp/mixture of voices/noise/buzzing/clamor, disturbance/noise of crowd	2501
稼	稼	jia4	sow grain	2500
鳍	鰭	qi2	fins/supporting surfaces	2491
菱	菱	ling2	Trapa natans/water caltrop	2489
盏	盞	zhan3	M for lamp, wine cup	2486
匿	匿	ni4	to hide	2479
吱	吱	zi1	(phonetic)	2478
寝	寢	qin3	lie down	2475
揽	攬	lan3	monopolize/seize	2474
髓	髓	sui3	marrow	2474
秉	秉	bing3	(surname)/to grasp/hold/maintain	2472
哺	哺	bu1/bu3	evening meal, feed	2466
矢	矢	shi3	arrow/dart	2466
啪	啪	pa1	syllable	2452
帜	幟	zhi4	flag	2452
邵	邵	shao4	(surname)/place name	2445
嗽	嗽	sou4	cough	2438
挟	挾	jia1/xie2	hold between, clasp under the arm/coerce	2438
缸	缸	gang1	jar/vat	2437
揉	揉	rou2	knead/massage/rub	2427
腻	膩	ni4	greasy/tired of	2425
驯	馴	xun2/xun4	attain gradually/tame	2423
缆	纜	lan4/lan3	cable/hawser	2410
晌	晌	shang3	around noon	2401
瘫	癱	tan1	paralyzed	2399
贮	貯	zhu4	to store/to save/stockpile	2398
觅	覓	mi4	seek	2396
朦	朦	meng2	deceive/indistinct	2394
僻	僻	pi4	low/rustic/secluded	2391
隋	隋	sui2	name of a dynasty	2391
蔓	蔓	man2/man4	Brassica campestris, creeper/to spread	2390
咋	咋	ze2/zha4/za3	gnaw, loud noise/shout/suddenly	2389
嵌	嵌	qian4	deep valley/inlay	2387
虔	虔	qian2	devout	2380
畔	畔	pan4	bank/field-path	2378
琐	瑣	suo3	fragmentary/trifling	2377
碟	碟	die2	dish/plate	2375
涩	澀	se4	grating (of surfaces)/tart/acerbic	2373
胧	朧	long2	rising moon, hazy/unclear	2365
嘟	嘟	du1	toot/honk	2360
蹦	蹦	beng4	to jump/bounce or hop	2358
冢	冢	zhong3	great/mound, mound	2357
浏	瀏	liu2	clear/deep (of water)/swift	2355
裔	裔	yi4	descendents/frontier	2350
襟	襟	jin1	overlapping part of Chinese gown	2346
叨	叨	dao1/tao1	grumble/garrulous, be in receipt of	2344
诀	訣	jue2	farewell/secrets (of an art)	2341
旭	旭	xu4	dawn/rising sun	2341
虾	蝦	xia1	shrimp/prawn	2338
簿	簿	bu4	a book/a register/account-book	2333
啤	啤	pi2	beer	2332
擒	擒	qin2	capture	2328
枣	棗	zao3	jujube	2319
嘎	嘎	ga2/ga1	cackling sound	2307
苑	苑	yuan4	(surname)/park	2303
牟	牟	mou2	barley/to moo/usurp	2299
呕	嘔	ou3	vomit	2292
骆	駱	luo4	camel	2290
凸	凸	tu1	(adj) convex; stick out	2287
熄	熄	xi1	(v) extinguish; quench/go out (of fire)	2284
兀	兀	wu4/wu1	(surname)/cut off the feet/rising to a height; towering/bald	2283
喔	喔	o1/wo1	I see/oh	2276
裳	裳	chang2/shang	lower garment/skirts/petticoats/garments	2274
凹	凹	ao1	a depression/indentation/concave/hollow	2273
赎	贖	shu2	redeem/to ransom	2271
屯	屯	tun2/zhun1	to station (soldiers)/to store up, difficult/stingy	2268
膛	膛	tang2	chest (of body)/hollow space/throat	2266
浇	澆	jiao1	to water	2265
灼	灼	zhuo2	brilliant/cauterize	2262
裘	裘	qiu2	(surname)/fur/fur coat	2262
砰	砰	peng1	sound of crashing/thunder	2261
棘	棘	ji2	thorns	2256
橡	橡	xiang4	oak/Quercus serrata	2251
碱	鹼	jian3	alkali/soda	2250
聋	聾	long2	deaf	2250
姥	姥	lao3/mu3	grandma (maternal), governess/old woman	2249
瑜	瑜	yu2	excellence/luster of gems	2239
毋	毋	wu2	no/not	2232
娅	婭	ya4	address term between sons-in-law	2230
沮	沮	ju3	destroy/to stop	2229
萌	萌	meng2	people/sprout	2229
俏	俏	qiao4	smart	2229
黯	黯	an4	deep black/dark	2221
撇	撇	pie1/pie3	cast away, (downwards-left curved character stroke)/throw	2219
粟	粟	su4	grain/millet	2219
粪	糞	fen4	manure/dung	2217
尹	尹	yin3	(surname)/to rule	2217
苟	苟	gou3	(surname)/if indeed/thoughtless	2213
癫	癲	dian1	convulsions/crazy	2210
蚂	螞	ma1/ma3/ma4	dragonfly, ant, grasshopper	2206
禹	禹	yu3	name of an emperor	2199
廖	廖	liao4	(surname)	2197
俭	儉	jian3	frugal/to be in need	2193
帖	帖	tie1/tie3/tie4	fit snugly, invitation card/notice, rubbing from incised inscription	2191
煎	煎	jian1	pan-fry	2183
缕	縷	lu:3/lv3	state in detail/strand/thread	2181
窦	竇	dou4	(surname)/sinus (anatom.)	2181
簇	簇	cu4	crowded/frame work for silkworms/gather foliage/a measure word/bunch	2173
棱	棱	leng2	corner/square beam	2168
叩	叩	kou4	knock	2165
呐	吶	na4/ne/na	battle cry, (final part.)	2163
瑶	瑤	yao2	(jade)/Yao/mother-of-pearl	2153
墅	墅	shu4	villa	2152
莺	鶯	ying1	golden oriole	2152
烫	燙	tang4	to scald/to burn/to iron/hot	2149
蛙	蛙	wa1	frog	2149
歹	歹	dai3	bad/wicked/evil	2148
伶	伶	ling2	clever	2148
葱	蔥	cong1	scallion/green onion	2147
哮	哮	xiao1	pant/roar/bark (of animals)	2146
眩	眩	xuan4	dizzy/dazzled	2145
坤	坤	kun1	the earth-/female-principle	2141
廓	廓	kuo4	big/empty/open	2141
讳	諱	hui4	avoid mentioning/to taboo	2139
啼	啼	ti2	mourn/to cry/hoof	2138
乍	乍	zha4	for the first time/suddenly	2131
瓣	瓣	ban4	petal/section	2127
矫	矯	jiao3	dissemble/rectify	2126
跋	跋	ba2	travel/walk	2124
枉	枉	wang3	in the wrong/in vain	2124
梗	梗	geng3	stem	2121
厕	廁	ce4	rest-room/toilet/lavatory	2118
琢	琢	zhuo2	to cut (gems)	2117
讥	譏	ji1	ridicule	2114
釉	釉	you4	glaze (of porcelain)	2113
窟	窟	ku1	cave/hole	2109
敛	斂	lian3	arrange/control oneself/gather	2107
轼	軾	shi4	crossbar in carriage front	2100
庐	廬	lu2	hut	2097
胚	胚	pei1	fetus	2093
呻	呻	shen1	groan	2092
绰	綽	chuo4/chao1	generous/ample/wide/spacious/well-off	2089
扼	扼	e4	hold (strategic position)	2087
懿	懿	yi4	restrain/virtuous	2086
炯	炯	jiong3	bright/clear	2084
竿	竿	gan1	pole	2083
慷	慷	kang1	generous/magnanimous	2078
虞	虞	yu2	forewarned/peace/worry	2072
锤	錘	chui2	to hammer/weight of steel yard	2071
栓	栓	shuan1	bottle stopper/wooden pin/plug	2068
桨	槳	jiang3	oar/paddle	2067
蚊	蚊	wen2	mosquito	2065
磅	磅	bang4/pang2	a measure word/pound (unit of measurement)/scale/weigh	2064
孽	孽	nie4	consequence of sin	2063
惭	慚	can2	ashamed	2062
戳	戳	chuo1	poke/pierce/prick/wooden or rubber stamp or seal	2051
禀	稟	bing3	natural property or endowment/report to (a superior)	2048
鄂	鄂	e4/E4	hupeh	2047
馈	饋	kui4	food/make a present	2032
垣	垣	yuan2	wall	2030
溅	濺	jian4	splash	2019
咚	咚	dong1	boom (of a drum)	2019
钙	鈣	gai4	calcium	2017
礁	礁	jiao1	reef/shoal rock	2017
彰	彰	zhang1	manifest	2014
豁	豁	hua2/huo1/huo4	play Chinese finger game, opening/stake all/sacrifice/crack/slit, clear/open/exempt (from)/liberal-minded	2013
眯	眯	mi1/mi3	to squint, blind (as with dust)	2013
磷	磷	lin2	phosphorus/water in rocks	2012
雯	雯	wen2	multicolored clouds	2012
墟	墟	xu1	old burial grounds	2010
迂	迂	yu1	literal-minded	2007
瞻	瞻	zhan1	gaze/view	2005
颅	顱	lu2	forehead/skull	2004
琉	琉	liu2	precious stone	2000
悼	悼	dao4	mourn/lament	1997
蝴	蝴	hu2	butterfly	1991
拣	揀	jian3	choose/pick up	1981
渺	渺	miao3	vague/remote	1980
眷	眷	juan4	concern/wife and children	1973
悯	憫	min3	sympathize/to pity	1970
汰	汰	tai4	to discard/to eliminate/too	1968
慑	懾	she4	afraid/be feared/to fear/to frighten/to intimidate	1966
婶	嬸	shen3	wife of father's younger brother	1965
斐	斐	fei3	(phonetic)/(surname)/elegant	1963
嘘	噓	xu1	exhale/hiss	1958
镶	鑲	xiang1	to inlay/to embed/ridge/border	1950
炕	炕	kang4	kang (a heatable brick bed)	1949
宦	宦	huan4	an official	1948
趴	趴	pa1	to lie on one's stomach	1942
绷	繃	beng1/beng3	to stretch/taut/to tie/to bind, to have a taut face	1941
窘	窘	jiong3	distressed/embarrassed	1935
襄	襄	xiang1	assist	1934
珀	珀	po4	amber	1932
嚣	囂	xiao1	clamor	1930
拚	拚	pan4/pin1	disregard/reject, stake all	1929
酌	酌	zhuo2	consider/pour wine	1928
浊	濁	zhuo2	impure/muddy	1924
毓	毓	yu4	nourish/rear	1924
撼	撼	han4	shake/to incite	1922
嗜	嗜	shi4	addicted to/fond of	1922
扛	扛	gang1/kang2	lift overhead with both hands, carry on one's shoulder	1921
峭	峭	qiao4	steep hill	1918
磕	磕	ke1	to tap/knock	1909
翘	翹	qiao2/qiao4	outstanding/to raise	1909
槽	槽	cao2	manger/trough/groove	1908
淌	淌	tang3	drip/to shed (tears)	1906
栅	柵	zha4/shan1	fence	1906
颓	頹	tui2	become bald/decadent	1900
熏	燻	xun1	to smoke/scent/fumigate	1900
瑛	瑛	ying1	(crystal)/lustrous	1900
颐	頤	yi2	cheeks/nourish	1890
忖	忖	cun3	ponder/consider/guess	1890
牡	牡	mu3	male	1889
缀	綴	zhui4		1887
徊	徊	huai2	irresolute/move back and forth	1885
梨	梨	li2	pear	1884
肪	肪	fang2	animal fat	1882
涕	涕	ti4	nasal mucus/tears	1880
惫	憊	bei4	exhausted	1879
摹	摹	mo2	imitate/copy	1879
踱	踱	duo2		1878
肘	肘	zhou3	elbow/pork shoulder	1877
熔	熔	rong2	to smelt/fuse	1873
挚	摯	zhi4	(surname)/sincere	1873
氯	氯	lu:4/lv4	chlorine	1872
凛	凜	lin3	shiver with cold or fear	1870
绎	繹	yi4	continuous/explain/unravel	1870
庶	庶	shu4	ordinary	1863
脯	脯	fu3/pu2	candied fruit, chest (thorax)	1860
迭	迭	die2	alternately/repeatedly	1859
睦	睦	mu4	friendly	1859
窍	竅	qiao4	intelligence/opening	1856
粥	粥	zhou1	congee/gruel/porridge	1854
庵	庵	an1	hut/Buddhist convent/small Buddhist temple	1851
沧	滄	cang1	blue/green(color of water)/cold/vast (of water)	1848
怠	怠	dai4	idle/lazy/negligent/careless	1847
沁	沁	qin4	name of a river	1847
奕	奕	yi4	abundant/graceful	1847
咙	嚨	long2	throat	1845
氨	氨	an1	ammonia	1843
矗	矗	chu4	lofty/upright	1843
盔	盔	kui1	helmet	1842
拇	拇	mu3	thumb	1839
沛	沛	pei4	copious/abundant	1834
榻	榻	ta4	couch	1832
揣	揣	chuai1/chuai3	put into, estimate/guess/figure/surmise	1829
崭	嶄	zhan3	precipitous peak	1827
鞘	鞘	qiao4	scabbard/sheath	1825
鞠	鞠	ju1	to bring up/to rear/Ju (a surname)	1821
垦	墾	ken3	reclaim (land)	1819
洽	洽	qia4	accord/make contact	1809
唾	唾	tuo4	saliva/spit at	1809
橱	櫥	chu2	a wardrobe/case/cabinet	1806
仕	仕	shi4	an official	1805
蜘	蜘	zhi1	spider	1804
痰	痰	tan2	phlegm/spittle	1791
袜	襪	wa4	socks/stockings	1790
峙	峙	zhi4	peak/to store	1784
柬	柬	jian3	card/note/letter	1772
蝉	蟬	chan2	cicada	1771
蟹	蟹	xie4	crab	1771
谏	諫	jian4	admonish	1769
鹃	鵑	juan1	cuckoo	1768
擎	擎	qing2	to raise (hand)	1768
皓	皓	hao4	bright/d (19th)/white	1767
朕	朕	zhen4	I/we (imperial use)/subtle	1766
疤	疤	ba1	scar	1765
禺	禺	yu2	(place)/district	1757
铲	鏟	chan3	level off/root up, spade/shovel	1756
酶	酶	mei2	enzyme/ferment	1755
钝	鈍	dun4	blunt/stupid	1752
氓	氓	mang2/meng2	vagrant/ruffian, people	1747
匣	匣	xia2	box	1747
弧	弧	hu2	arc	1742
峨	峨	e2	lofty/name of a mountain	1740
锥	錐	zhui1	awl/to bore	1738
揪	揪	jiu1	to clutch	1735
杠	槓	gang1/gang4	footbridge, carrying pole/horizontal bar	1732
吭	吭	hang2/keng1	throat	1731
崛	崛	jue2	towering as a peak	1731
诬	誣	wu1	accuse falsely	1725
冉	冉	ran3	(surname)/passing (of time)	1724
抒	抒	shu1	to strain/pour out	1724
庚	庚	geng1	7th heavenly stem/age	1719
悍	悍	han4	violent	1715
靡	靡	mi2/mi3	wasted, extravagant/go with fashion/not	1715
晦	晦	hui4	dark/night/unlucky	1714
醋	醋	cu4	vinegar	1712
壕	壕	hao2	air-raid shelter/trench	1709
锯	鋸	ju1/ju4	to mend (china) with staples, a saw/to saw	1709
夭	夭	yao1	tender/gentle/to die prematurely	1709
咦	咦	yi2	expression of surprise	1704
侈	侈	chi3	extravagant/wasteful/exaggerating	1703
婢	婢	bi4	slave girl/maid servant	1698
猾	猾	hua2	sly	1697
徘	徘	pai2	irresolute	1695
硝	硝	xiao1	saltpeter/to tan (leather)	1695
煽	煽	shan1	fan into a flame/incite	1694
皂	皁	zao4	black	1691
舵	舵	duo4	helm/rudder	1689
嗦	嗦	suo1	suck	1689
狈	狽	bei4	a legendary wolf/distressed/wretched	1688
靴	靴	xue1	boots	1688
捂	捂	wu3	resist, (v) seal up; muffle	1687
疮	瘡	chuang1	sore/skin ulcer	1681
郝	郝	hao3	(surname)/ancient place name	1681
苛	苛	ke1	severe/exacting	1679
秽	穢	hui4	dirt/filth	1676
茜	茜	qian4	Rubia cordiolia	1675
搓	搓	cuo1	to rub or roll between the hands or fingers/to twist	1673
芸	芸	yun2	Ruta graveolens	1671
酱	醬	jiang4	jam/thick sauce	1668
赁	賃	lin4	to rent	1668
檐	檐	yan2	eaves	1667
饷	餉	xiang3	soldier's pay	1664
蕉	蕉	jiao1	banana	1663
铀	鈾	you2	uranium	1661
苔	苔	tai1/tai2	coating (of tongue), moss	1660
赦	赦	she4	to pardon (a convict)	1659
缎	緞	duan4	satin	1658
舷	舷	xian2	sides of boat	1654
筷	筷	kuai4	chopstick	1652
朔	朔	shuo4	beginning/first day of lunar month	1645
婪	婪	lan2	avaricious	1642
紊	紊	wen3/wen4	involved/tangled/disorder, involved/tangled	1639
厮	廝	si1		1636
婿	婿	xu4	son-in-law	1635
寥	寥	liao2	empty/lonesome/very few	1633
兢	兢	jing1	to be fearful/apprehensive	1632
糙	糙	cao1	rough/coarse (in texture)	1631
卦	卦	gua4	divinatory trigram	1628
槐	槐	huai2	Sophora japonica	1627
扒	扒	ba1/pa2	climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside, climb/crawl/snatch	1623
裴	裴	pei2	(surname)	1622
祀	祀	si4	offer sacrifice to	1621
埔	埔	pu3	port	1618
絮	絮	xu4	line with cotton wadding	1617
芭	芭	ba1	a herb/banana	1615
屉	屜	ti4	drawer/tier/tray	1612
痪	瘓	huan4	illness/numbness of the limbs	1611
霄	霄	xiao1	firmament/heaven	1611
绽	綻	zhan4	ripped seam	1607
宵	宵	xiao1	night	1604
邑	邑	yi4	city	1604
霖	霖	lin2	continued rain	1602
岔	岔	cha4	branch in a road/astray/diverge	1599
饵	餌	er3	bait/cakes	1596
茄	茄	qie2	eggplant	1596
韧	韌	ren4	annealed/pliable but strong/tough/tenacious	1593
琪	琪	qi2	(white gem)/angel	1592
邹	鄒	zou1	(surname)/name of district in Shandong	1591
瑚	瑚	hu2	coral	1590
憋	憋	bie1	hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back	1588
殆	殆	dai4	dangerous/perilous/endanger/almost/probably/only	1588
噜	嚕	lu1	grumble/chatter	1587
忒	忒	te4/tui1	excessive/to change	1579
忿	忿	fen4	vehement	1578
衅	釁	xin4	offer blood in sacrifice	1578
淳	淳	chun2	genuine/pure/honest	1577
悖	悖	bei4	perverse/rebellious/to rebel	1576
髦	髦	mao2	bang (hair)/fashionable/mane	1575
孜	孜	zi1	hard-working/industrious	1573
粤	粵	yue4	Cantonese/Guangdong	1572
隘	隘	ai4	a pass or defile/narrow/confined/in distress	1570
濒	瀕	bin1	near	1569
铮	錚	zheng1	clang of metals/small gong	1565
畸	畸	ji1	fractional remains/odd	1562
剔	剔	ti1	pick (as teeth)	1559
坞	塢	wu4	dock/low wall	1559
篱	籬	li2	a fence	1558
淀	澱	dian4	shallow water, sediment/precipitate	1557
蓦	驀	mo4	leap on or over/suddenly	1555
唬	唬	hu3	intimidate/tiger's roar/to fool	1554
锣	鑼	luo2	gong	1552
汀	汀	ting1	sand-bank	1552
趾	趾	zhi3	toe	1552
缉	緝	qi1/ji1	to stitch finely	1549
嫦	嫦	chang2	a legendary beauty who flew to the moon/the lady in the moon	1549
斟	斟	zhen1	pour/to deliberate	1547
鞍	鞍	an1	saddle	1545
扳	扳	ban1/pan1	to pull or draw (up or out), climb up/pull	1540
拴	拴	shuan1	tie up	1537
诅	詛	zu3	curse/swear (oath)	1535
谟	謨	mo2	plan/to practice	1534
呃	呃	e4/e	hiccough	1532
