simplified	traditional	pinyin	eng	freq
二	二	er4	two/2	267506
等	等	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on	266296
产	產	chan3	to reproduce/to produce/give birth/products/produce/resources/estate/property	265164
或	或	huo4	maybe/perhaps/might/possibly/or	260786
新	新	xin1	meso- (chem.)/new/newly	253921
己	己	ji3	6th heavenly stem/self	250894
制	制	zhi4	system/to make/to manufacture/to control/to regulate, manufacture	250754
身	身	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit	249725
果	果	guo3	fruit/result	246831
加	加	jia1	to add/plus	243648
西	西	xi1	west	243619
斯	斯	si1	(phonetic)/this	240900
月	月	yue4	moon/month	240566
话	話	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said	240067
合	合	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join	239277
回	回	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam	239243
特	特	te2/te4	special/unusual/extraordinary, male animal/special (-ly)	239091
代	代	dai4	substitute/replace/generation/dynasty/geological era/era/age/period	231734
内	內	nei4	inside/inner/internal/within/interior	231331
信	信	xin4	letter/true/to believe/sign/evidence	230248
表	表	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external	226768
化	化	hua4	to make into/to change into/-ization/to ... -ize/to transform	224729
老	老	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)	223050
给	給	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide	217815
世	世	shi4	life/age/generation/era/world/lifetime	214990
位	位	wei4	position/location/(measure word for persons)/place/seat	214983
次	次	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)	214857
度	度	du4	capacity/degree/standard	214376
门	門	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)	212769
任	任	ren4	to assign/to appoint/office/responsibility	212485
常	常	chang2	always/ever/often/frequently/common/general/constant	212309
先	先	xian1	early/prior/former/in advance/first	210628
海	海	hai3	ocean/sea	209302
通	通	tong1	go through/know well/to connect/to communicate/open	209046
教	教	jiao1/jiao4	teach, religion/teaching	208875
儿	兒	er2/er	son, non-syllabic dimi. suff.	207827
原	原	yuan2	former/original/primary/raw/level/cause/source	207579
东	東	dong1	east	206238
声	聲	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise	206083
提	提	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention	205159
立	立	li4	set up/to stand	204985
及	及	ji2	to reach/and	202671
比	比	bi3/bi4	"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"	200645
员	員	yuan2	person/employee/member	200217
解	解	jie3/jie4/xie4	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)	200090
水	水	shui3	water/river	198933
名	名	ming2	name/(measure word for persons)/place (e.g. among winners)	198481
真	真	zhen1	real/true/genuine	198416
论	論	lun2/lun4	the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss	197165
处	處	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect	194237
走	走	zou3	to walk/to go/to move	193619
义	義	yi4	justice/righteousness/meaning	193507
各	各	ge4	each/every	193435
入	入	ru4	to enter	192433
几	幾	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few	192355
口	口	kou3	mouth/(a measure word)	191936
认	認	ren4	to recognize/to know/to admit	191866
条	條	tiao2	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article	191280
平	平	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful	191267
系	系	xi4	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie	190769
气	氣	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged	190687
题	題	ti2	topic/subject/to inscribe/to superscribe	189921
活	活	huo2	to live/alive/living/work/workmanship	189876
尔	爾	er3	thus/so/like that/you/thou	189785
更	更	geng1/geng4	to change, more/even more/further/still/still more	187378
别	別	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward	186634
打	打	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from	186146
女	女	nu:3/nv3	female/woman	185188
变	變	bian4	to change/to become different/to transform/to vary/rebellion	185121
四	四	si4	four/4	184874
神	神	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being	184554
总	總	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case	184470
何	何	he2	carry/what/how/why/which	184335
电	電	dian4	electric/electricity/electrical	183834
数	數	shu3/shu4/shuo4	to count, number/figure/to count/to calculate/several, frequently/repeatedly	183312
安	安	an1	content/calm/still/quiet/to pacify/peace	183210
少	少	shao3/shao4	few/little/lack, young	183018
报	報	bao4	to announce/to inform/report/newspaper/recompense/revenge	182411
才	才	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until	181725
结	結	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind	181674
反	反	fan3	wrong side out or up/anti-	181385
受	受	shou4	to bear/to stand/to endure/(passive marker)/to receive	180928
目	目	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title	180827
太	太	tai4	highest/greatest/too (much)/very/extremely	180490
量	量	liang2/liang4	to measure, capacity/quantity/amount/to estimate	180008
再	再	zai4	again/once more/re-/second/another	179607
感	感	gan3	to feel/to move/to touch/to affect	178383
建	建	jian4	to establish/to found/to set up/to build/to construct	178289
务	務	wu4	affair/business/matter	176085
做	做	zuo4	to do/to make/to produce	175580
接	接	jie1	to extend/to connect/to receive/to join	175473
必	必	bi4	certainly/must/will/necessarily	174963
场	場	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)	173632
件	件	jian4	a measure word for thing, clothes, item	172895
计	計	ji4	to calculate/to compute/to count/reckon/ruse/to plan	171949
管	管	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe	170746
期	期	qi1	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope	169806
市	市	shi4	market/city	169522
直	直	zhi2	straight/vertical/frank/directly/straightly/upright	169439
德	德	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind	168917
资	資	zi1	resources/capital/to provide/to supply/to support/money/expense	168890
命	命	ming4	life/fate	168358
山	山	shan1	mountain/hill	168142
金	金	jin1	metal/money/gold	167912
指	指	zhi3	finger/to point/to direct/to indicate	166865
克	克	ke4	gram/subdue/to restrain/to overcome, subdue	166044
许	許	xu3	to allow/to permit/to praise/(surname)	166034
统	統	tong3	to gather/to unite/to unify/whole	165820
区	區	ou1/qu1	Ou (surname), area/region/district/small/distinguish	164775
保	保	bao3	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard	164424
至	至	zhi4	arrive/most/to/until	163582
