pinyin,hanzi,hsk,translation
yù bào,预报,5,"forecast,"
yù dìng,预订,5,"to place an order, to book ahead,"
yù fáng,预防,5,"to prevent, to take precautions against, to protect, to guard against, precautionary, prophylactic,"
yù mǐ,玉米,5,"corn, maize, CL:粒[lì],"
yuán dàn,元旦,5,"New Year's Day,"
yuán liào,原料,5,"raw material, CL:個|个[gè],"
yuán zé,原则,5,"principle, doctrine, CL:個|个[gè],"
yuán gù,缘故,5,"reason, cause,"
yuàn wàng,愿望,5,"desire, wish,"
yūn,晕,5,"confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out,"
yùn qi,运气,5,"luck (good or bad),"
yùn shū,运输,5,"transport, haulage, transit, CL:個|个[gè],"
yùn yòng,运用,5,"to use, to put to use,"
zāi hài,灾害,5,"disastrous damage, scourge, CL:個|个[gè],"
zài sān,再三,5,"over and over again, again and again,"
zàn chéng,赞成,5,"to approve, to endorse, (literary) to assist,"
zàn měi,赞美,5,"to admire, to praise, to eulogize,"
zāo gāo,糟糕,5,"too bad, how terrible, what bad luck, terrible, bad,"
zào chéng,造成,5,"to bring about, to create, to cause,"
zé,则,5,"conjunction used to express contrast with a previous sentence or clause, standard, norm, rule, to imitate, to follow, then, principle, classifier for written items (such as an official statement),"
zé bèi,责备,5,"to blame, to criticize, condemnation, reproach,"
zhāi,摘,5,"to take, to borrow, to pick (flowers, fruit etc), to pluck, to select, to remove, to take off (glasses, hat etc),"
zhān tiē,粘贴,5,"to stick, to affix, to adhere, to paste (as in cut, copy and paste), Taiwan pr. [nián tiē], also written 黏貼|黏贴,"
zhǎn kāi,展开,5,"to unfold, to carry out, to be in full swing, to launch,"
zhǎn lǎn,展览,5,"to put on display, to exhibit, exhibition, show, CL:個|个,次[cì],"
zhàn zhēng,战争,5,"war, conflict, CL:場|场,次[cì],"
zhàn xiàn,占线,5,"busy (telephone line),"
zhǎng,涨,5,"to rise (of prices, rivers),"
zhǎng wò,掌握,5,"to grasp (often fig.), to control, to seize (initiative, opportunity, destiny), to master, to know well, to understand sth well and know how to use it, fluency,"
zhàng hù,账户,5,"bank account, online account,"
zhāo dài,招待,5,"to receive (guests), to entertain, reception,"
zháo liáng,着凉,5,"to catch cold,"
zhào cháng,照常,5,"(business etc) as usual,"
zhào kāi,召开,5,"to convene (a conference or meeting), to convoke, to call together,"
zhé xué,哲学,5,"philosophy, CL:個|个[gè],"
zhēn lǐ,真理,5,"truth, CL:個|个[gè],"
zhēn shí,真实,5,"true, real,"
zhēn duì,针对,5,"to be directed against, to be aimed at, to counter, in the light of, in connection with,"
zhēn xī,珍惜,5,"to treasure, to value, to cherish,"
zhěn duàn,诊断,5,"diagnosis, to diagnose,"
zhěn tou,枕头,5,"pillow,"
zhèn,阵,5,"disposition of troops, wave, spate, burst, spell, short period of time, classifier for events or states of short duration,"
zhèn dòng,振动,5,"vibration,"
zhēng,睁,5,"to open (one's eyes),"
zhēng lùn,争论,5,"to argue, to debate, to contend, argument, contention, controversy, debate, CL:次,場|场[chǎng],"
zhēng qǔ,争取,5,"to fight for, to strive for, to win over,"
zhēng qiú,征求,5,"to solicit, to seek, to request (opinions, feedback etc), to petition,"
zhěng gè,整个,5,"whole, entire, total,"
zhěng tǐ,整体,5,"whole entity, entire body, synthesis, as a whole (situation, construction, team etc), global, macrocosm, integral, holistic, whole,"
zhèng,正,5,"just (right), main, upright, straight, correct, positive, greater than zero, principle,"
zhèng cè,政策,5,"policy, CL:個|个[gè],"
zhèng fǔ,政府,5,"government, CL:個|个[gè],"
zhèng zhì,政治,5,"politics, political,"
zhèng jiàn,证件,5,"paperwork, credentials,"
zhèng jù,证据,5,"evidence, proof, testimony,"
zhèng qián,挣钱,5,"to make money,"
zhī,支,5,"to support, to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions,"
zhī piào,支票,5,"check (bank), cheque, CL:本[běn],"
zhí,直,5,"straight, to straighten, fair and reasonable, frank, straightforward, (indicates continuing motion or action), vertical, vertical downward stroke in Chinese characters,"
zhí xíng,执行,5,"to implement, to carry out, to execute, to run,"
zhí zhào,执照,5,"a license, a permit,"
zhǐ dǎo,指导,5,"to guide, to give directions, to direct, to coach, guidance, tuition, CL:個|个[gè],"
zhǐ huī,指挥,5,"to conduct, to command, to direct, conductor (of an orchestra), CL:個|个[gè],"
zhì dìng,制定,5,"to draw up, to formulate,"
zhì dù,制度,5,"system (e.g. political, adminstrative etc), institution, CL:個|个[gè],"
zhì zuò,制作,5,"to make, to manufacture,"
zhì huì,智慧,5,"wisdom, knowledge, intelligent, intelligence,"
zhì jīn,至今,5,"so far, to this day, until now,"
zhì yú,至于,5,"as for, as to, to go so far as to,"
zhì liáo,治疗,5,"to treat, to cure, medical treatment, cure,"
zhì yuàn zhě,志愿者,5,"volunteer,"
zhì xù,秩序,5,"order (orderly), order (sequence), social order, the state (of society), CL:個|个[gè],"
zhōng,钟,5,"clock, o'clock, time as measured in hours and minutes, bell, CL:架,座[zuò],"
zhōng jiè,中介,5,"to act as intermediary, to link, intermediate, inter-, agency, agent,"
zhōng xīn,中心,5,"center, heart, core, CL:個|个[gè],"
zhōng xún,中旬,5,"middle third of a month,"
zhòng,重,5,"heavy, serious, to attach importance to,"
zhòng liàng,重量,5,"weight, CL:個|个[gè],"
zhōu dao,周到,5,"thoughtful, considerate, attentive, thorough,"
zhú bù,逐步,5,"progressively, step by step,"
zhú zi,竹子,5,"bamboo, CL:棵,支,根[gēn],"
zhǔ,煮,5,"to cook, to boil,"
zhǔ chí,主持,5,"to take charge of, to manage or direct, to preside over, to uphold, to stand for (justice etc), to host (a TV or radio program etc),"
zhǔ guān,主观,5,"subjective,"
zhǔ rén,主人,5,"master, host, owner, CL:個|个[gè],"
zhǔ xí,主席,5,"chairperson, premier, chairman, CL:個|个,位[wèi],"
zhǔ zhāng,主张,5,"to advocate, to stand for, view, position, stand, proposition, viewpoint, assertion, CL:個|个[gè],"
zhǔ fù,嘱咐,5,"to tell, to exhort, injunction,"
zhù fú,祝福,5,"blessings, to wish sb well,"
zhù cè,注册,5,"to register, to enroll,"
zhuā jǐn,抓紧,5,"to grasp firmly, to pay special attention to, to rush in, to make the most of,"
zhuān jiā,专家,5,"expert, specialist, CL:個|个[gè],"
zhuān xīn,专心,5,"to concentrate, absorption, concentration, engrossed,"
zhuǎn biàn,转变,5,"to change, to transform, shift, transformation, CL:個|个[gè],"
zhuǎn gào,转告,5,"to pass on, to communicate, to transmit,"
zhuāng,装,5,"adornment, to adorn, dress, clothing, costume (of an actor in a play), to play a role, to pretend, to install, to fix, to wrap (sth in a bag), to load, to pack,"
zhuāng shì,装饰,5,"to decorate, decoration, decorative, ornamental,"
zhuàng kuàng,状况,5,"condition, state, situation, CL:個|个[gè],"
zhuàng tài,状态,5,"state of affairs, state, mode, situation, CL:個|个[gè],"
zhuī qiú,追求,5,"to pursue (a goal etc) stubbornly, to seek after, to woo,"
zī gé,资格,5,"qualifications,"
zī jīn,资金,5,"funds, funding, capital,"
zī liào,资料,5,"material, resources, data, information, profile (Internet), CL:份,個|个[gè],"
zī yuán,资源,5,"natural resource (such as water or minerals), resource (such as manpower or tourism),"
zī shì,姿势,5,"posture, position,"
zī xún,咨询,5,"to consult, to seek advice, consultation, (sales) inquiry (formal),"
zǐ,紫,5,"purple, violet, amethyst, Lithospermum erythrorhizon (flowering plant whose root provides red purple dye), Japanese: murasaki,"
zì mù,字幕,5,"caption, subtitle,"
zì cóng,自从,5,"since (a time), ever since,"
zì dòng,自动,5,"automatic, voluntarily,"
zì háo,自豪,5,"(feel a sense of) pride, to be proud of sth (in a good way),"
zì jué,自觉,5,"conscious, aware, on one's own initiative, conscientious,"
zì sī,自私,5,"selfish, selfishness,"
zì xìn,自信,5,"to have confidence in oneself, self-confidence,"
zì yóu,自由,5,"freedom, free, liberty, CL:個|个[gè],"
zì yuàn,自愿,5,"voluntary,"
zōng hé,综合,5,"comprehensive, composite, synthesized, to sum up, to integrate, to synthesize,"
zōng jiào,宗教,5,"religion,"
zǒng cái,总裁,5,"chairman, director-general (of a company etc),"
zǒng gòng,总共,5,"altogether, in sum, in all, in total,"
zǒng lǐ,总理,5,"premier, prime minister, CL:個|个,位,名[míng],"
zǒng suàn,总算,5,"at long last, finally, on the whole,"
zǒng tǒng,总统,5,"president (of a country), CL:個|个,位,名,屆|届[jiè],"
zǒng zhī,总之,5,"in a word, in short, in brief,"
zǔ hé,组合,5,"to assemble, combination, combinatorial,"
zǔ zhǐ,阻止,5,"to prevent, to block,"
zǔ guó,祖国,5,"ancestral land CL:個|个[gè], homeland, used for PRC,"
zǔ xiān,祖先,5,"ancestor, forebears,"
zuì,醉,5,"intoxicated,"
zuì chū,最初,5,"first, primary, initial,"
zuì fàn,罪犯,5,"criminal,"
zūn jìng,尊敬,5,"respect, to revere,"
zūn shǒu,遵守,5,"to comply with, to abide by, to respect (an agreement),"
zuò pǐn,作品,5,"work (of art), opus, CL:部,篇[piān],"
zuò wéi,作为,5,"one's conduct, deed, activity, accomplishment, achievement, to act as, as (in the capacity of), qua, to view as, to look upon (sth as), to take sth to be,"
zuò wén,作文,5,"to write an essay, composition (student essay), CL:篇[piān],"
āi yō,哎哟,6,"hey, ow, ouch, interjection of pain or surprise,"
ái,挨,6,"to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle,"
ái zhèng,癌症,6,"cancer,"
ài bù shì shǒu,爱不释手,6,"to love sth too much to part with it (idiom); to fondle admiringly,"
ài dài,爱戴,6,"to love and respect, love and respect,"
ài mèi,暧昧,6,"vague, ambiguous, equivocal, dubious,"
ān jū lè yè,安居乐业,6,"live in peace and work happily (idiom),"
ān níng,安宁,6,"peaceful, tranquil, calm, composed, free from worry,"
ān xiáng,安详,6,"serene,"
ān zhì,安置,6,"to find a place for, to help settle down, to arrange for, to get into bed, placement,"
àn shì,暗示,6,"to hint, to suggest, suggestion, hint,"
àn jiàn,案件,6,"law case, legal case, judicial case, CL:宗,樁|桩,起[qǐ],"
àn lì,案例,6,"case (law), CL:個|个[gè],"
àn mó,按摩,6,"massage, to massage,"
áng guì,昂贵,6,"expensive, costly,"
āo tū,凹凸,6,"bumpy, uneven, slotted and tabbed joint, crenelation,"
áo,熬,6,"to cook on a slow fire, to extract by heating, to decoct, to endure,"
ào mì,奥秘,6,"secret, mystery,"
bā,扒,6,"to hold on to, to cling to, to dig up, to rake, to push aside, to climb, to pull out, to strip off,"
bā,疤,6,"scar,"
bā bù dé,巴不得,6,"to be eager for, to long for, to look forward to,"
bā jie,巴结,6,"to fawn on, to curry favor with, to make up to,"
bá miáo zhù zhǎng,拔苗助长,6,"to spoil things through excessive enthusiasm (idiom),"
bǎ guān,把关,6,"to guard a pass, to check on sth,"
bǎ shǒu,把手,6,"handle, grip, knob,"
bǎ xì,把戏,6,"acrobatics, jugglery, cheap trick, game,"
bà dào,霸道,6,"the Way of the Hegemon, abbr. of 霸王之道, despotic rule, rule by might, evil as opposed to the Way of the King 王道, overbearing, tyranny, (of liquor, medicine etc) strong, potent,"
bà gōng,罢工,6,"a strike, to go on strike,"
bāi,掰,6,"to break with both hands,"
bǎi fēn diǎn,百分点,6,"percentage point,"
bǎi tuō,摆脱,6,"to break away from, to cast off (old ideas etc), to get rid of, to break away (from), to break out (of), to free oneself from, to extricate oneself,"
bài fǎng,拜访,6,"to pay a visit, to call on,"
bài nián,拜年,6,"pay a New Year call, wish sb a Happy New Year,"
bài tuō,拜托,6,"to request sb to do sth, please!,"
bài huài,败坏,6,"to ruin, to corrupt, to undermine,"
bān bù,颁布,6,"to issue, to proclaim, to enact (laws, decrees etc),"
bān fā,颁发,6,"to issue, to promulgate, to award,"
bān wén,斑纹,6,"stripe, streak,"
bǎn běn,版本,6,"version, edition, release,"
bàn tú ér fèi,半途而废,6,"to give up halfway (idiom); leave sth unfinished,"
bàn lǚ,伴侣,6,"companion, mate, partner,"
bàn suí,伴随,6,"to accompany, to follow, to occur together with, concomitant,"
bàn yǎn,扮演,6,"to play the role of, to act,"
bǎng jià,绑架,6,"to kidnap, to abduct, to hijack, a kidnapping, abduction, staking,"
bǎng yàng,榜样,6,"example, model, CL:個|个[gè],"
bàng,磅,6,"see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams),"
bāo bì,包庇,6,"to shield, to harbor, to cover up,"
bāo fu,包袱,6,"cloth-wrapper, a bundle wrapped in cloth, load, weight, burden,"
bāo wéi,包围,6,"to surround, to encircle, to hem in,"
bāo zhuāng,包装,6,"to pack, to package, to wrap, packaging,"
bǎo hé,饱和,6,"saturation,"
bǎo jīng cāng sāng,饱经沧桑,6,"having lived through many changes,"
bǎo guǎn,保管,6,"to assure, to guarantee, to take care of, to safeguard, certainly, surely,"
bǎo mì,保密,6,"to keep sth confidential, to maintain secrecy,"
bǎo mǔ,保姆,6,"nanny, housekeeper,"
bǎo shǒu,保守,6,"(politically) conservative, to guard, to keep,"
bǎo wèi,保卫,6,"to defend, to safeguard,"
bǎo yǎng,保养,6,"to take good care of (or conserve) one's health, to keep in good repair, to maintain, maintenance,"
bǎo zhàng,保障,6,"to ensure, to guarantee, to safeguard,"
bǎo zhòng,保重,6,"to take care of oneself,"
bào fù,抱负,6,"aspiration, ambition,"
bào yuàn,抱怨,6,"to complain, to grumble,"
bào chóu,报仇,6,"to take revenge, to avenge,"
bào chóu,报酬,6,"reward, remuneration,"
bào dá,报答,6,"to repay, to requite,"
bào dào,报到,6,"to report for duty, to check in, to register,"
bào fù,报复,6,"to make reprisals, to retaliate, revenge, retaliation,"
bào shè,报社,6,"general office of a newspaper, newspaper office, CL:家[jiā],"
bào xiāo,报销,6,"to submit an expense account, to apply for reimbursement, to write off, to wipe out,"
bào fā,爆发,6,"to break out, to erupt, to explode, to burst out,"
bào zhà,爆炸,6,"explosion, to explode, to blow up, to detonate,"
bào guāng,曝光,6,"light meter, exposure meter,"
bào lì,暴力,6,"violence, (use) force, violent,"
bào lù,暴露,6,"to expose, to reveal, to lay bare, also pr. [pù lù],"
bēi āi,悲哀,6,"grieved, sorrowful,"
bēi cǎn,悲惨,6,"miserable, tragic,"
bēi bǐ,卑鄙,6,"base, mean, contemptible, despicable,"
běi jí,北极,6,"the North Pole, the Arctic Pole, the north magnetic pole,"
bèi dòng,被动,6,"passive,"
bèi gào,被告,6,"defendant,"
bèi pàn,背叛,6,"to betray,"
bèi sòng,背诵,6,"recite, repeat from memory,"
bèi fèn,备份,6,"backup,"
bèi wàng lù,备忘录,6,"memorandum, aide-memoire, memorandum book,"
bèi ké,贝壳,6,"shell, conch, cowry, mother of pearl, hard outer skin, alternative reading , mostly written,"
bēn bō,奔波,6,"to rush about, to be constantly on the move,"
bēn chí,奔驰,6,"to run quickly, to speed, to gallop,"
běn néng,本能,6,"instinct,"
běn qián,本钱,6,"capital,"
běn rén,本人,6,"the person himself, I (humble form used in speeches), oneself, myself, in person, personal,"
běn shēn,本身,6,"itself, in itself, per se,"
běn shi,本事,6,"ability, skill,"
běn zhe,本着,6,"based on..., in conformance with.., taking as one's main principle,"
bèn zhuō,笨拙,6,"clumsy, awkward, stupid,"
bēng kuì,崩溃,6,"to collapse, to crumble, to fall apart,"
béng,甭,6,"need not, (contraction of 不 and 用),"
bèng,蹦,6,"to jump, to bounce, to hop,"
bèng fā,迸发,6,"to burst forth,"
bī pò,逼迫,6,"to force, to compel, to coerce,"
bí tì,鼻涕,6,"nasal mucus, snivel,"
bǐ fang,比方,6,"analogy, instance,"
bǐ yù,比喻,6,"to compare, to liken to, metaphor, analogy, figure of speech, figuratively,"
bǐ zhòng,比重,6,"proportion, specific gravity,"
bì,臂,6,"arm,"
bì bìng,弊病,6,"malady, evil, malpractice, drawback, disadvantage,"
bì duān,弊端,6,"malpractice, abuse, corrupt practice,"
bì dìng,必定,6,"be bound to, be sure to,"
bì sè,闭塞,6,"to stop up, to close up, hard to get to, out of the way, inaccessible, unenlightened, blocking,"
bì yù,碧玉,6,"jasper,"
biān cè,鞭策,6,"to spur on, to urge on, to encourage sb (e.g. to make progress),"
biān zhī,编织,6,"to weave, to knit, to plait, to braid,"
biān jiāng,边疆,6,"border area, borderland, frontier, frontier region,"
biān jiè,边界,6,"boundary, border,"
biān jìng,边境,6,"frontier, border,"
biān yuán,边缘,6,"edge, fringe, verge, brink, periphery, marginal, borderline,"
biǎn,扁,6,"flat, (old form of character 匾, horizontal tablet with inscription),"
biǎn dī,贬低,6,"to belittle, to disparage, to play down, to demean, to degrade, to devalue,"
biǎn yì,贬义,6,"derogatory sense, negative connotation,"
biàn bù,遍布,6,"to cover the whole (area), to be found throughout,"
biàn lì,便利,6,"convenient, easy, to facilitate,"
biàn tiáo,便条,6,"(informal) note, CL:張|张,個|个[gè],"
biàn yú,便于,6,"easy to, convenient for,"
biàn gù,变故,6,"an unforeseen event, accident, misfortune,"
biàn qiān,变迁,6,"changes, vicissitudes,"
biàn zhì,变质,6,"to degenerate, to go bad, to deteriorate, metamorphosis,"
biàn hù,辩护,6,"to speak in defense of, to argue in favor of, to defend, to plead,"
biàn jiě,辩解,6,"to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself,"
biàn zhèng,辩证,6,"to investigate, dialectical,"
biàn rèn,辨认,6,"to recognize, to identify,"
biàn zi,辫子,6,"plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根,條|条[tiáo],"
biāo běn,标本,6,"specimen, sample, the root cause and symptoms of a disease,"
biāo jì,标记,6,"sign, mark, symbol, to mark up,"
biāo tí,标题,6,"title, heading, headline, caption, subject,"
biāo shēng,飙升,6,"to rise rapidly, to soar,"
biǎo jué,表决,6,"to decide by vote, to vote,"
biǎo tài,表态,6,"to declare one's position, to say where one stands,"
biǎo zhāng,表彰,6,"to honor, to commend, to cite (in dispatches),"
biē,憋,6,"to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath),"
bié shù,别墅,6,"villa, CL:幢,座[zuò],"
bié zhì,别致,6,"variant of 別緻|别致[bié zhì],"
biè niu,别扭,6,"awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche, awkward (writing or speech),"
bīn lín,濒临,6,"on the verge of, close to,"
bīng báo,冰雹,6,"hail, hailstone, CL:場|场,粒[lì],"
bìng cún,并存,6,"to exist at the same time, to coexist,"
bìng fēi,并非,6,"really isn't,"
bìng liè,并列,6,"to stand side by side, to be juxtaposed,"
bō dǎ,拨打,6,"to call, to dial,"
bō fàng,播放,6,"to broadcast, to transmit,"
bō zhǒng,播种,6,"to sow seeds, sowing, seed,"
bō làng,波浪,6,"wave,"
bō tāo xiōng yǒng,波涛汹涌,6,"waves surging forth, roaring sea,"
bō xuē,剥削,6,"to exploit, exploitation,"
bó dà jīng shēn,博大精深,6,"wide-ranging and profound, broad and deep,"
bó lǎn huì,博览会,6,"exposition, international fair,"
bó dòu,搏斗,6,"to wrestle, to fight, to struggle,"
bó mǔ,伯母,6,"wife of father's elder brother, aunt, (polite form of address for a woman who is about the age of one's mother), CL:個|个[gè],"
bó ruò,薄弱,6,"weak, frail,"
bù gù,不顾,6,"in spite of, regardless of,"
bù kuì,不愧,6,"to be worthy of, to deserve to be called, to prove oneself to be,"
bù liào,不料,6,"unexpectedly, to one's surprise,"
bù xiàng huà,不像话,6,"unreasonable, shocking, outrageous,"
bù xiè yī gù,不屑一顾,6,"to disdain as beneath contempt,"
bǔ cháng,补偿,6,"to compensate, to make up,"
bǔ jiù,补救,6,"to remedy,"
bǔ tiē,补贴,6,"to subsidize, subsidy, allowance,"
bǔ rǔ,哺乳,6,"breast feeding, to suckle, to nurse,"
bǔ zhuō,捕捉,6,"to catch, to seize, to capture,"
bù dé yǐ,不得已,6,"to act against one's will, to have no alternative but to, to have to, to have no choice, must,"
bù fáng,不妨,6,"there is no harm in, might as well,"
bù gǎn dāng,不敢当,6,"lit. I dare not (accept the honor); fig. I don't deserve your praise, you flatter me,"
bù jīn,不禁,6,"can't help (doing sth), can't refrain from,"
bù kān,不堪,6,"cannot bear, cannot stand, utterly, extremely,"
bù kě sī yì,不可思议,6,"inconceivable (idiom); unimaginable, unfathomable,"
bù shí,不时,6,"from time to time, now and then, occasionally,"
bù xī,不惜,6,"not stint, not spare, not hesitate (to do sth), not scruple (to do sth),"
bù xiāng shàng xià,不相上下,6,"equally matched, about the same,"
bù yán ér yù,不言而喻,6,"it goes without saying, it is self-evident,"
bù yóu de,不由得,6,"can't help, cannot but,"
bù zé shǒu duàn,不择手段,6,"by fair means or foul, by hook or by crook, unscrupulously,"
bù zhǐ,不止,6,"incessantly, without end, more than, not limited to,"
bù gào,布告,6,"posting on a bulletin board, notice, bulletin, to announce,"
bù jú,布局,6,"arrangement, composition, layout, opening (chess jargon),"
bù zhì,布置,6,"to put in order, to arrange, to decorate, to fix up, to deploy,"
bù fá,步伐,6,"pace, (measured) step, march,"
bù shǔ,部署,6,"to dispose, to deploy, deployment,"
bù wèi,部位,6,"position, place,"
cái gàn,才干,6,"ability, competence,"
cái fù,财富,6,"wealth, riches,"
cái wù,财务,6,"financial affairs,"
cái zhèng,财政,6,"finances (public), financial,"
cái féng,裁缝,6,"tailor, dressmaker,"
cái pàn,裁判,6,"judgment, to referee, umpire, judge, referee, CL:個|个,位,名[míng],"
cái yuán,裁员,6,"to cut staff, to lay off employees,"
cǎi gòu,采购,6,"to procure (for an enterprise etc), to purchase,"
cǎi jí,采集,6,"to gather, to collect, to harvest,"
cǎi nà,采纳,6,"to accept, to adopt,"
cǎi piào,彩票,6,"lottery ticket,"
cān móu,参谋,6,"staff officer, to give advice,"
cān zhào,参照,6,"to consult a reference, to refer to (another document),"
cán kù,残酷,6,"cruel, cruelty,"
cán liú,残留,6,"to remain, left over, surplus, remnant,"
cán rěn,残忍,6,"cruel, mean, merciless, ruthless,"
càn làn,灿烂,6,"to glitter, brilliant, splendid,"
cāng,舱,6,"cabin, the hold of a ship or airplane,"
cāng bái,苍白,6,"pale, wan,"
cāng cù,仓促,6,"all of a sudden, hurriedly,"
cāng kù,仓库,6,"depot, storehouse, warehouse,"
cāo láo,操劳,6,"to work hard, to look after,"
cāo liàn,操练,6,"drill, practice,"
cāo zòng,操纵,6,"to operate, to control, to rig, to manipulate,"
cāo zuò,操作,6,"to work, to operate, to manipulate,"
cáo zá,嘈杂,6,"noisy, clamorous,"
cǎo àn,草案,6,"draft (legislation, proposal etc),"
cǎo shuài,草率,6,"careless, negligent, sloppy, not serious,"
cè huà,策划,6,"to plot, to scheme, to bring about, to engineer, planning, producer, planner,"
cè lvè,策略,6,"tactics, to be tactful,"
cè liáng,测量,6,"survey, to measure, to gauge, to determine,"
cè miàn,侧面,6,"lateral side, side, aspect, profile,"
céng chū bù qióng,层出不穷,6,"more and more emerge, innumerable succession, breeding like flies (idiom),"
céng cì,层次,6,"arrangement of ideas, administrative level, level, stage, phase,"
chā jù,差距,6,"disparity, gap,"
chá huò,查获,6,"to investigate and capture (a criminal), to ferret out, to hunt down and arrest,"
chà,岔,6,"fork in road, bifurcation, branch in road, river, mountain range etc, to branch off, to turn off, to diverge, to stray (from the path), to change the subject, to interrupt, to stagger (times),"
chà nà,刹那,6,"an instant (Sanskrit: ksana), split second, the twinkling of an eye,"
chà yì,诧异,6,"flabbergasted, astonished,"
chái yóu,柴油,6,"diesel fuel,"
chān,搀,6,"to assist by the arm, to mix, to support, to sustain,"
chán,馋,6,"gluttonous, greedy, to have a craving,"
chán rào,缠绕,6,"twisting, to twine, to wind, to pester, to bother,"
chǎn yè,产业,6,"industry, estate, property, industrial,"
chǎn shù,阐述,6,"to expound (a position), to elaborate (on a topic), to treat (a subject),"
chàn dǒu,颤抖,6,"to shudder, to shiver, to shake, to tremble,"
chāng kuáng,猖狂,6,"savage, furious,"
chāng shèng,昌盛,6,"prosperous,"
cháng shì,尝试,6,"to try, to attempt, CL:次[cì],"
cháng huán,偿还,6,"to repay, to reimburse,"
cháng nián,常年,6,"all year round, for years on end, average year,"
cháng wù,常务,6,"routine, everyday business, daily operation (of a company),"
chǎng hé,场合,6,"situation, occasion,"
chǎng miàn,场面,6,"scene, spectacle, occasion, situation,"
chǎng suǒ,场所,6,"location, place,"
chǎng kāi,敞开,6,"to open wide, unrestrictedly,"
chàng dǎo,倡导,6,"to advocate, to initiate, to propose, to be a proponent of (an idea or school of thought),"
chàng yì,倡议,6,"to suggest, to initiate, proposal, initiative,"
chàng tōng,畅通,6,"unimpeded, free-flowing, straight path, unclogged, move without obstruction,"
chàng xiāo,畅销,6,"to sell well, best seller, chart-topping,"
chāo jí,超级,6,"super-, ultra-, hyper-,"
chāo yuè,超越,6,"to surpass, to exceed, to transcend,"
chāo piào,钞票,6,"paper money, a bill (e.g. 100 yuan), CL:張|张,扎[zā],"
cháo liú,潮流,6,"tide, current, trend,"
cháo shī,潮湿,6,"damp, moist,"
cháo xiào,嘲笑,6,"to jeer at, to deride, to ridicule, mockery, derision,"
chè tuì,撤退,6,"to retreat,"
chè xiāo,撤销,6,"to repeal, to revoke, to undo (computing),"
chén diàn,沉淀,6,"to settle, to precipitate (solid sediment out of a solution),"
chén mèn,沉闷,6,"oppressive (of weather), heavy, depressed, not happy,"
chén sī,沉思,6,"to contemplate, to ponder, contemplation, meditation,"
chén zhòng,沉重,6,"heavy, hard, serious, critical,"
chén zhuó,沉着,6,"steady, calm and collected, not nervous,"
chén jiù,陈旧,6,"old-fashioned,"
chén liè,陈列,6,"to display, to exhibit,"
chén shù,陈述,6,"an assertion, to declare, to state,"
chèn xīn rú yì,称心如意,6,"after one's heart (idiom); gratifying and satisfactory, everything one could wish,"
chēng hào,称号,6,"name, term of address, title,"
chéng,盛,6,"to hold, to contain, to ladle, to pick up with a utensil,"
chéng,橙,6,"orange tree, orange (color),"
chéng wù yuán,乘务员,6,"attendant on an airplane, train, boat etc,"
chéng bàn,承办,6,"to undertake, to accept a contract,"
chéng bāo,承包,6,"to contract, to undertake (a job),"
chéng nuò,承诺,6,"to promise, to undertake to do something, commitment,"
chéng bǎo,城堡,6,"castle, rook (chess piece),"
chéng běn,成本,6,"(manufacturing, production etc) costs,"
chéng jiāo,成交,6,"to complete a contract, to reach a deal,"
chéng tiān,成天,6,"(coll.) all day long, all the time,"
chéng xiào,成效,6,"effect, result,"
chéng xīn,成心,6,"intentional, deliberate, on purpose,"
chéng yuán,成员,6,"member,"
chéng fá,惩罚,6,"penalty, punishment, to punish,"
chéng zhì,诚挚,6,"sincere, cordial,"
chéng qīng,澄清,6,"clear (of liquid), limpid, to clarify, to make sth clear, to be clear (about the facts),"
chéng xiàn,呈现,6,"to appear, to emerge, to present (a certain appearance), to demonstrate,"
chèng,秤,6,"steelyard, Roman balance, CL:臺|台[tái],"
chī kǔ,吃苦,6,"to bear, hardships,"
chī lì,吃力,6,"to entail strenuous effort, to toil at a task, strenuous, laborious, strain,"
chí huǎn,迟缓,6,"slow, sluggish,"
chí yí,迟疑,6,"to hesitate,"
chí jiǔ,持久,6,"lasting, enduring, persistent, permanent, protracted, endurance, persistence, to last long,"
chí táng,池塘,6,"pool, pond,"
chì dào,赤道,6,"equator (of the earth or astronomical body),"
chì zì,赤字,6,"(financial) deficit, red letter,"
chōng dòng,冲动,6,"to have an urge, to be impetuous, impulse, urge,"
chōng jī,冲击,6,"an attack, under attack, a shock,"
chōng tū,冲突,6,"conflict, to conflict, clash of opposing forces, collision (of interests), contention,"
chōng dāng,充当,6,"to serve as, to act as, to play the role of,"
chōng pèi,充沛,6,"abundant, plentiful, vigorous,"
chōng shí,充实,6,"rich, full, substantial, to enrich, to augment, to substantiate (an argument),"
chōng zú,充足,6,"adequate, sufficient, abundant,"
chóng bài,崇拜,6,"to worship, adoration,"
chóng gāo,崇高,6,"majestic, sublime,"
