hanzi	freq	pinyin	eng
咸	3627	xian2	all/in all cases/salty, salty
焉	3626	yan1	where/how
谴	3619	qian3	punishment/scold
宛	3619	wan3	(surname)/similar/winding
稻	3607	dao4	paddy/rice
铸	3604	zhu4	cast metals/to coin (money)
锻	3596	duan4	forge/wrought/to discipline
伽	3596	qie2/ga1	(phonetic)
詹	3595	zhan1	(surname)/excellent/verbose
毙	3588	bi4	die violently
恍	3584	huang3	disappointed/flurried/indistinct
贬	3580	bian3	to diminish/to demote/reduce or devaluate/disparage/censure/depreciate
烛	3578	zhu2	candle
骇	3577	hai4	astonish/startle
芯	3568	xin1	lamp pith/core
汁	3564	zhi1	juice
桓	3551	huan2	(surname)/Sapindus mukurosi
坊	3546	fang1	subdivision of a city
驴	3532	lu:2/lv2	donkey
朽	3526	xiu3	rotten
靖	3521	jing4	pacify/quiet
佣	3517	yong1/yong4	hire/servant, commission (for middleman)
汝	3503	ru3	thou
碌	3497	lu4	laborious/small stone/to record/to tape/to write down/to hire/to employ
迄	3496	qi4	as yet/until
冀	3487	ji4	Hebei/to hope
荆	3479	jing1	(surname)/thorns/brambles
崔	3476	cui1	(surname)/high mountain/precipitous
雁	3474	yan4	wild goose
绅	3472	shen1	member of gentry
珊	3465	shan1	coral
榜	3458	bang3	a notice or announcement/a list of names/public roll of successful examinees
诵	3447	song4	read aloud
傍	3444	bang1/bang4	near (approaching), near/nestle
彦	3437	yan4	accomplished/elegant
醇	3433	chun2	rich/pure/good wine/sterols
笛	3409	di2	flute
禽	3408	qin2	birds/fowl
勿	3400	wu4	do not
娟	3385	juan1	beautiful/graceful
瞄	3383	miao2	to aim
幢	3376	chuang2/zhuang4	(measure word for houses)/tents
寇	3354	kou4	bandit
睹	3346	du3	observe/see
贿	3346	hui4	bribe/bribery
踩	3343	cai3	step upon/tread on/stamp
霆	3342	ting2	clap of thunder
呜	3341	wu1	(onomat. for humming)
拱	3339	gong3	fold hands in salute/to arch
妃	3338	fei1	imperial concubine
蔑	3330	mie4	belittle/nothing
谕	3330	yu4	order (from above)
缚	3326	fu2/fu4	to bind/to tie
诡	3323	gui3	sly/crafty
篷	3315	peng2	sail
淹	3315	yan1	drown/submerge
腕	3314	wan4	wrist
煮	3313	zhu3	to cook/to boil
倩	3311	qian4	niece/plagiarize/winsome
卒	3306	cu4/zu2	abruptly/hurriedly, die/soldier
勘	3303	kan1	to investigate/to survey/to collate
馨	3281	xin1	fragrant
逗	3271	dou4	linger
甸	3270	dian4	imperial domain/suburb
贱	3270	jian4	inexpensive/lowly
炒	3260	chao3	saute/pan-fry/to fry/fried
灿	3254	can4	glorious/bright/brilliant/lustrous/resplendent
敞	3248	chang3	spacious/uncovered
蜡	3246	la4	candle/wax
囚	3242	qiu2	prisoner
栗	3240	li4	afraid/trembling, (surname)/chestnut
辜	3235	gu1	(surname)/crime/sin
垫	3233	dian4	pad/cushion/mat
妒	3228	du4	jealous
魁	3227	kui2	chief/head
谣	3219	yao2	popular ballad/rumor
寞	3217	mo4	lonesome
蜀	3208	shu3	Sichuan
甩	3208	shuai3	fling
涯	3206	ya2	border/horizon/shore
枕	3206	zhen3	pillow
丐	3201	gai4	beg for alms/beggar
泳	3198	yong3	swimming/to swim
奎	3194	kui2	name of constellation/stride
泌	3192	bi4/mi4	secrete/pour off
逾	3189	yu2	exceed/jump over, to exceed/to go beyond/to jump over
叮	3188	ding1	sting (of mosquito)/to ask
黛	3187	dai4	umber-black dye for painting the eyebrow
燥	3171	zao4	dry/parched/impatient
掷	3170	zhi4	toss
藉	3169	ji2/jie4	in disorder, by means of
枢	3169	shu1	hinge/pivot
憎	3169	zeng1	detest
鲸	3158	jing1	whale
弘	3153	hong2	great/liberal
倚	3149	yi3	to lean on/rely upon
侮	3144	wu3	insult
拂	3135	fu2	brush away
鹤	3133	he4	crane
蚀	3131	shi2	eat up slowly/eclipse
浆	3130	jiang1/jiang4	broth/serum/to starch, starch paste
芙	3130	fu2	lotus
烤	3125	kao3	to roast/bake/to broil
晒	3124	shai4	to sun
霜	3119	shuang1	frost
剿	3112	chao1/jiao3	destroy (bandits), destroy (bandits)
蕴	3110	yun4	bring together/collect
绸	3098	chou2	(light) silk
屿	3098	yu3	islet
氢	3092	qing1	hydrogen
驼	3084	tuo2	humpback
妆	3083	zhuang1	adornment/adorn
捆	3079	kun3	a bunch/tie together/bundle
铅	3075	qian1	lead (metal)
逛	3074	guang4	to stroll/to visit
榴	3068	liu2	pomegranate
丙	3055	bing3	the third of the ten heavenly stems/the third position/third/number three
痒	3055	yang3	to itch/to tickle
钞	3049	chao1	money/paper money
蹄	3045	ti2	hoof/pork shoulder
犬	3042	quan3	dog
躬	3037	gong1	body/oneself/personally/to bow
昼	3036	zhou4	daytime
藻	3035	zao3	(aquatic grasses)/elegant
蛛	3033	zhu1	spider
颊	3025	jia2	cheeks
奠	3020	dian4	libation
募	3018	mu4	canvass for contributions/to recruit/to collect/to raise
耽	3005	dan1	indulge/delay
蹈	3004	dao3	tread on/trample/stamp/fulfill
陋	2995	lou4	low/humble/plain/ugly/mean/vulgar
侣	2994	lu:3/lv3	companion
魅	2991	mei4	demon/magic/to charm
岚	2988	lan2	mist/name of a mountain
侄	2987	zhi2	nephew, nephew (of the same surname)
虐	2979	nue4	oppressive/tyrannical
堕	2977	duo4	degenerate/fall
陛	2976	bi4	the steps to the throne
莹	2973	ying2	luster of gems
荫	2972	yin4/yin1	shade
狡	2971	jiao3	crafty/cunning/sly
阀	2970	fa2	clique/valve
绞	2963	jiao3	hang (a criminal)/to turn/to twist/to wind
膏	2958	gao1	ointment/paste
垮	2958	kua3	collapse
茎	2956	jing1	stalk/stem
缅	2945	mian3	Burma/distant
喇	2939	la1/la3	(onomat.), (phonetic)
绒	2929	rong2	velvet/woolen
搅	2922	jiao3	to disturb/to annoy/to mix/to stir
凳	2921	deng4	bench/stool
梭	2913	suo1	shuttle
丫	2912	ya1	slave girl
姬	2909	ji1	(surname)/women
诏	2907	zhao4	imperial order
钮	2906	niu3	(surname)/button
棺	2901	guan1	coffin
耿	2899	geng3	(surname)/bright
缔	2897	di4	closely joined/connection/knot
懈	2893	xie4	lax/negligent
嫉	2892	ji2	jealousy/be jealous of
灶	2891	zao4	kitchen stove
匀	2890	yun2	even/evenly (divided)/uniform
嗣	2889	si4	to connect, inherit/descendants, heirs
鸽	2886	ge1	pigeon/dove
澡	2882	zao3	bath
凿	2880	zao2/zuo4	chisel, chisel
纬	2874	wei3	latitude
沸	2860	fei4	boil
畴	2858	chou2	arable fields/cultivated field/class/category
刃	2858	ren4	edge of blade
遏	2849	e4	to stop/check
烁	2847	shuo4	bright/luminous
嗅	2843	xiu4	sense of smell
叭	2842	ba1	denote a sound or sharp noise (gunfire, etc.)
熬	2841	ao1/ao2	to boil/stew/to simmer, endure/to boil
瞥	2840	pie1	blink/glance
骸	2836	hai2	bones of the body
奢	2835	she1	extravagant
拙	2833	zhuo2/zhuo1	awkward/clumsy/dull/inelegant/(polite) my
栋	2830	dong4	roof beam
毯	2827	tan3	blanket/rug
桐	2821	tong2	Aleurites cordata
砂	2820	sha1	sand/gravel/granule
莽	2816	mang3	Illicium anisatum/rude
泻	2816	xie4	to flow (out) swiftly/diarrhea
坪	2815	ping2	a plain
梳	2806	shu1	comb
杉	2805	sha1/shan1	fir, (pine)
晤	2805	wu4	meet (socially)
稚	2803	zhi4	infantile/young
蔬	2799	shu1	vegetables
蝇	2761	ying2	fly/musca
捣	2753	dao3	pound/beat/hull/attack/disturb/stir
顷	2753	qing3	100 mu/a short while ago/a 'ching' (unit of area)/approx. (with dates)/a short while
麽	2751	mo2/me	dimi.
尴	2748	gan1	embarrassed/ill at ease
镖	2744	biao1	a throwing weapon/dart
诧	2743	cha4	surprised/to wander/to be astonished
尬	2743	ga4	in an embarrassing situation
硫	2742	liu2	sulfur
嚼	2739	jiao2/jue2	to chew, to chew
羡	2739	xian4	to envy
沦	2738	lun2	perish
沪	2737	hu4	Shanghai
旷	2731	kuang4	waste/wilderness
彬	2724	bin1	ornamental/refined
芽	2717	ya2	bud/sprout
狸	2715	li2	(dog)/wild cat
冥	2715	ming2	dark/deep
碳	2711	tan4	carbon
咧	2707	lie1/lie3	child's cry, draw back corners of mouth
惕	2698	ti4	fearful/respectful
暑	2697	shu3	heat/hot weather/summer heat
咯	2694	ge1/lo/luo4	(phonetic), part. indicating obviousness, cough (blood)/to argue/debate
萝	2694	luo2	radish
汹	2684	xiong1	scared, nervous, torrential rush/tumultuous
腥	2677	xing1	fishy (smell)
窥	2673	kui1	peep/pry into
俺	2671	an3	I (northern dialects)
潭	2665	tan2	(surname)/deep
崎	2662	qi2	mountainous
麟	2659	lin2	female unicorn
捡	2653	jian3	pick up/collect/gather
拯	2650	zheng3	to raise/to aid/to support/to save/to rescue
厥	2650	jue2	his/its
澄	2649	cheng2/deng4	clear and still water, clear/limpid/clarify/purify/(a surname), settle (liquid)
萎	2647	wei1/wei3	spiritless/withered, wither
哉	2647	zai1	(exclamatory or interrog. part.)
涡	2644	guo1/wo1	name of a river, eddy/whirlpool
滔	2642	tao1	overflow/torrent-dash
暇	2641	xia2	leisure
溯	2639	su4	go upstream/trace the source
鳞	2635	lin2	scales (of fish)
酿	2633	niang4	ferment/brew
茵	2631	yin1	Skimmia japonica/cushion
愕	2631	e4	startled
瞅	2626	chou3	to see/look/take a look at
暮	2626	mu4	evening/sunset
衙	2625	ya2	(surname)/office/yamen
诫	2614	jie4	commandment/prohibit
斧	2598	fu3	hatchet
兮	2597	xi1	(part.)
焕	2595	huan4	brilliant/lustrous
棕	2590	zong1	palm
佑	2589	you4	bless/protect, protect
嘶	2587	si1	hiss/neigh
妓	2582	ji4	prostitute
喧	2579	xuan1	clamor/noise, clamor/noise/deceitful
蓉	2578	rong2	lotus
删	2577	shan1	to delete
樱	2572	ying1	cherry
伺	2570	ci4/si4	wait on, to watch/to wait/to examine/to spy
嗡	2565	weng1	-oin (chem.) as in anisoin
娥	2557	e2	good/beautiful
梢	2555	shao1	tip of branch
坝	2552	ba4	dam/dyke/embankment
蚕	2549	can2	silkworm
敷	2548	fu1	announce/apply
澜	2539	lan2	swelling water
杏	2538	xing4	apricot
绥	2529	sui2	pacify
冶	2525	ye3	smelt
庇	2523	bi4	to protect/cover/shelter/hide or harbor
挠	2523	nao2	to scratch
搂	2512	lou1/lou3	graft (money)/solicit/to gather/to collect, to hug/to embrace
倏	2505	shu1	sudden/abrupt
聂	2503	nie4	(surname)/whisper
婉	2503	wan3	graceful/tactful
噪	2501	zao4	chirp/mixture of voices/noise/buzzing/clamor, disturbance/noise of crowd
稼	2500	jia4	sow grain
鳍	2491	qi2	fins/supporting surfaces
菱	2489	ling2	Trapa natans/water caltrop
盏	2486	zhan3	M for lamp, wine cup
匿	2479	ni4	to hide
吱	2478	zi1	(phonetic)
寝	2475	qin3	lie down
揽	2474	lan3	monopolize/seize
髓	2474	sui3	marrow
秉	2472	bing3	(surname)/to grasp/hold/maintain
哺	2466	bu1/bu3	evening meal, feed
矢	2466	shi3	arrow/dart
啪	2452	pa1	syllable
帜	2452	zhi4	flag
邵	2445	shao4	(surname)/place name
嗽	2438	sou4	cough
挟	2438	jia1/xie2	hold between, clasp under the arm/coerce
缸	2437	gang1	jar/vat
揉	2427	rou2	knead/massage/rub
腻	2425	ni4	greasy/tired of
驯	2423	xun2/xun4	attain gradually/tame
缆	2410	lan4/lan3	cable/hawser
晌	2401	shang3	around noon
瘫	2399	tan1	paralyzed
贮	2398	zhu4	to store/to save/stockpile
觅	2396	mi4	seek
朦	2394	meng2	deceive/indistinct
僻	2391	pi4	low/rustic/secluded
隋	2391	sui2	name of a dynasty
蔓	2390	man2/man4	Brassica campestris, creeper/to spread
咋	2389	ze2/zha4/za3	gnaw, loud noise/shout/suddenly
嵌	2387	qian4	deep valley/inlay
虔	2380	qian2	devout
畔	2378	pan4	bank/field-path
琐	2377	suo3	fragmentary/trifling
碟	2375	die2	dish/plate
涩	2373	se4	grating (of surfaces)/tart/acerbic
胧	2365	long2	rising moon, hazy/unclear
嘟	2360	du1	toot/honk
蹦	2358	beng4	to jump/bounce or hop
冢	2357	zhong3	great/mound, mound
浏	2355	liu2	clear/deep (of water)/swift
裔	2350	yi4	descendents/frontier
襟	2346	jin1	overlapping part of Chinese gown
叨	2344	dao1/tao1	grumble/garrulous, be in receipt of
诀	2341	jue2	farewell/secrets (of an art)
旭	2341	xu4	dawn/rising sun
虾	2338	xia1	shrimp/prawn
簿	2333	bu4	a book/a register/account-book
啤	2332	pi2	beer
擒	2328	qin2	capture
枣	2319	zao3	jujube
嘎	2307	ga2/ga1	cackling sound
苑	2303	yuan4	(surname)/park
牟	2299	mou2	barley/to moo/usurp
呕	2292	ou3	vomit
骆	2290	luo4	camel
凸	2287	tu1	(adj) convex; stick out
熄	2284	xi1	(v) extinguish; quench/go out (of fire)
兀	2283	wu4/wu1	(surname)/cut off the feet/rising to a height; towering/bald
喔	2276	o1/wo1	I see/oh
裳	2274	chang2/shang	lower garment/skirts/petticoats/garments
凹	2273	ao1	a depression/indentation/concave/hollow
赎	2271	shu2	redeem/to ransom
屯	2268	tun2/zhun1	to station (soldiers)/to store up, difficult/stingy
膛	2266	tang2	chest (of body)/hollow space/throat
浇	2265	jiao1	to water
灼	2262	zhuo2	brilliant/cauterize
裘	2262	qiu2	(surname)/fur/fur coat
砰	2261	peng1	sound of crashing/thunder
棘	2256	ji2	thorns
橡	2251	xiang4	oak/Quercus serrata
碱	2250	jian3	alkali/soda
聋	2250	long2	deaf
姥	2249	lao3/mu3	grandma (maternal), governess/old woman
瑜	2239	yu2	excellence/luster of gems
毋	2232	wu2	no/not
娅	2230	ya4	address term between sons-in-law
沮	2229	ju3	destroy/to stop
萌	2229	meng2	people/sprout
俏	2229	qiao4	smart
黯	2221	an4	deep black/dark
撇	2219	pie1/pie3	cast away, (downwards-left curved character stroke)/throw
粟	2219	su4	grain/millet
粪	2217	fen4	manure/dung
尹	2217	yin3	(surname)/to rule
苟	2213	gou3	(surname)/if indeed/thoughtless
癫	2210	dian1	convulsions/crazy
蚂	2206	ma1/ma3/ma4	dragonfly, ant, grasshopper
禹	2199	yu3	name of an emperor
廖	2197	liao4	(surname)
俭	2193	jian3	frugal/to be in need
帖	2191	tie1/tie3/tie4	fit snugly, invitation card/notice, rubbing from incised inscription
煎	2183	jian1	pan-fry
缕	2181	lu:3/lv3	state in detail/strand/thread
窦	2181	dou4	(surname)/sinus (anatom.)
簇	2173	cu4	crowded/frame work for silkworms/gather foliage/a measure word/bunch
棱	2168	leng2	corner/square beam
叩	2165	kou4	knock
呐	2163	na4/ne/na	battle cry, (final part.)
瑶	2153	yao2	(jade)/Yao/mother-of-pearl
墅	2152	shu4	villa
莺	2152	ying1	golden oriole
烫	2149	tang4	to scald/to burn/to iron/hot
蛙	2149	wa1	frog
歹	2148	dai3	bad/wicked/evil
伶	2148	ling2	clever
葱	2147	cong1	scallion/green onion
哮	2146	xiao1	pant/roar/bark (of animals)
眩	2145	xuan4	dizzy/dazzled
坤	2141	kun1	the earth-/female-principle
廓	2141	kuo4	big/empty/open
讳	2139	hui4	avoid mentioning/to taboo
啼	2138	ti2	mourn/to cry/hoof
乍	2131	zha4	for the first time/suddenly
瓣	2127	ban4	petal/section
矫	2126	jiao3	dissemble/rectify
跋	2124	ba2	travel/walk
枉	2124	wang3	in the wrong/in vain
梗	2121	geng3	stem
厕	2118	ce4	rest-room/toilet/lavatory
琢	2117	zhuo2	to cut (gems)
讥	2114	ji1	ridicule
釉	2113	you4	glaze (of porcelain)
窟	2109	ku1	cave/hole
敛	2107	lian3	arrange/control oneself/gather
轼	2100	shi4	crossbar in carriage front
庐	2097	lu2	hut
胚	2093	pei1	fetus
呻	2092	shen1	groan
绰	2089	chuo4/chao1	generous/ample/wide/spacious/well-off
扼	2087	e4	hold (strategic position)
懿	2086	yi4	restrain/virtuous
炯	2084	jiong3	bright/clear
竿	2083	gan1	pole
慷	2078	kang1	generous/magnanimous
虞	2072	yu2	forewarned/peace/worry
锤	2071	chui2	to hammer/weight of steel yard
栓	2068	shuan1	bottle stopper/wooden pin/plug
桨	2067	jiang3	oar/paddle
蚊	2065	wen2	mosquito
磅	2064	bang4/pang2	a measure word/pound (unit of measurement)/scale/weigh
孽	2063	nie4	consequence of sin
惭	2062	can2	ashamed
戳	2051	chuo1	poke/pierce/prick/wooden or rubber stamp or seal
禀	2048	bing3	natural property or endowment/report to (a superior)
鄂	2047	e4/E4	hupeh
馈	2032	kui4	food/make a present
垣	2030	yuan2	wall
溅	2019	jian4	splash
咚	2019	dong1	boom (of a drum)
钙	2017	gai4	calcium
礁	2017	jiao1	reef/shoal rock
彰	2014	zhang1	manifest
豁	2013	hua2/huo1/huo4	play Chinese finger game, opening/stake all/sacrifice/crack/slit, clear/open/exempt (from)/liberal-minded
眯	2013	mi1/mi3	to squint, blind (as with dust)
磷	2012	lin2	phosphorus/water in rocks
雯	2012	wen2	multicolored clouds
墟	2010	xu1	old burial grounds
迂	2007	yu1	literal-minded
瞻	2005	zhan1	gaze/view
颅	2004	lu2	forehead/skull
琉	2000	liu2	precious stone
悼	1997	dao4	mourn/lament
蝴	1991	hu2	butterfly
拣	1981	jian3	choose/pick up
渺	1980	miao3	vague/remote
眷	1973	juan4	concern/wife and children
悯	1970	min3	sympathize/to pity
汰	1968	tai4	to discard/to eliminate/too
慑	1966	she4	afraid/be feared/to fear/to frighten/to intimidate
婶	1965	shen3	wife of father's younger brother
斐	1963	fei3	(phonetic)/(surname)/elegant
嘘	1958	xu1	exhale/hiss
镶	1950	xiang1	to inlay/to embed/ridge/border
炕	1949	kang4	kang (a heatable brick bed)
宦	1948	huan4	an official
趴	1942	pa1	to lie on one's stomach
绷	1941	beng1/beng3	to stretch/taut/to tie/to bind, to have a taut face
窘	1935	jiong3	distressed/embarrassed
襄	1934	xiang1	assist
珀	1932	po4	amber
嚣	1930	xiao1	clamor
拚	1929	pan4/pin1	disregard/reject, stake all
酌	1928	zhuo2	consider/pour wine
浊	1924	zhuo2	impure/muddy
毓	1924	yu4	nourish/rear
撼	1922	han4	shake/to incite
嗜	1922	shi4	addicted to/fond of
扛	1921	gang1/kang2	lift overhead with both hands, carry on one's shoulder
峭	1918	qiao4	steep hill
磕	1909	ke1	to tap/knock
翘	1909	qiao2/qiao4	outstanding/to raise
槽	1908	cao2	manger/trough/groove
淌	1906	tang3	drip/to shed (tears)
栅	1906	zha4/shan1	fence
颓	1900	tui2	become bald/decadent
熏	1900	xun1	to smoke/scent/fumigate
瑛	1900	ying1	(crystal)/lustrous
颐	1890	yi2	cheeks/nourish
忖	1890	cun3	ponder/consider/guess
牡	1889	mu3	male
徊	1885	huai2	irresolute/move back and forth
梨	1884	li2	pear
肪	1882	fang2	animal fat
涕	1880	ti4	nasal mucus/tears
惫	1879	bei4	exhausted
摹	1879	mo2	imitate/copy
肘	1877	zhou3	elbow/pork shoulder
熔	1873	rong2	to smelt/fuse
挚	1873	zhi4	(surname)/sincere
氯	1872	lu:4/lv4	chlorine
凛	1870	lin3	shiver with cold or fear
绎	1870	yi4	continuous/explain/unravel
庶	1863	shu4	ordinary
脯	1860	fu3/pu2	candied fruit, chest (thorax)
迭	1859	die2	alternately/repeatedly
睦	1859	mu4	friendly
窍	1856	qiao4	intelligence/opening
粥	1854	zhou1	congee/gruel/porridge
庵	1851	an1	hut/Buddhist convent/small Buddhist temple
沧	1848	cang1	blue/green(color of water)/cold/vast (of water)
怠	1847	dai4	idle/lazy/negligent/careless
沁	1847	qin4	name of a river
奕	1847	yi4	abundant/graceful
咙	1845	long2	throat
氨	1843	an1	ammonia
矗	1843	chu4	lofty/upright
盔	1842	kui1	helmet
拇	1839	mu3	thumb
沛	1834	pei4	copious/abundant
榻	1832	ta4	couch
揣	1829	chuai1/chuai3	put into, estimate/guess/figure/surmise
崭	1827	zhan3	precipitous peak
鞘	1825	qiao4	scabbard/sheath
鞠	1821	ju1	to bring up/to rear/Ju (a surname)
垦	1819	ken3	reclaim (land)
洽	1809	qia4	accord/make contact
唾	1809	tuo4	saliva/spit at
橱	1806	chu2	a wardrobe/case/cabinet
仕	1805	shi4	an official
蜘	1804	zhi1	spider
痰	1791	tan2	phlegm/spittle
袜	1790	wa4	socks/stockings
峙	1784	zhi4	peak/to store
柬	1772	jian3	card/note/letter
蝉	1771	chan2	cicada
蟹	1771	xie4	crab
谏	1769	jian4	admonish
鹃	1768	juan1	cuckoo
擎	1768	qing2	to raise (hand)
皓	1767	hao4	bright/d (19th)/white
朕	1766	zhen4	I/we (imperial use)/subtle
疤	1765	ba1	scar
禺	1757	yu2	(place)/district
铲	1756	chan3	level off/root up, spade/shovel
酶	1755	mei2	enzyme/ferment
钝	1752	dun4	blunt/stupid
氓	1747	mang2/meng2	vagrant/ruffian, people
匣	1747	xia2	box
弧	1742	hu2	arc
峨	1740	e2	lofty/name of a mountain
锥	1738	zhui1	awl/to bore
揪	1735	jiu1	to clutch
杠	1732	gang1/gang4	footbridge, carrying pole/horizontal bar
吭	1731	hang2/keng1	throat
崛	1731	jue2	towering as a peak
诬	1725	wu1	accuse falsely
冉	1724	ran3	(surname)/passing (of time)
抒	1724	shu1	to strain/pour out
庚	1719	geng1	7th heavenly stem/age
悍	1715	han4	violent
靡	1715	mi2/mi3	wasted, extravagant/go with fashion/not
晦	1714	hui4	dark/night/unlucky
醋	1712	cu4	vinegar
壕	1709	hao2	air-raid shelter/trench
锯	1709	ju1/ju4	to mend (china) with staples, a saw/to saw
夭	1709	yao1	tender/gentle/to die prematurely
咦	1704	yi2	expression of surprise
侈	1703	chi3	extravagant/wasteful/exaggerating
婢	1698	bi4	slave girl/maid servant
猾	1697	hua2	sly
徘	1695	pai2	irresolute
硝	1695	xiao1	saltpeter/to tan (leather)
煽	1694	shan1	fan into a flame/incite
皂	1691	zao4	black
舵	1689	duo4	helm/rudder
嗦	1689	suo1	suck
狈	1688	bei4	a legendary wolf/distressed/wretched
靴	1688	xue1	boots
捂	1687	wu3	resist, (v) seal up; muffle
疮	1681	chuang1	sore/skin ulcer
郝	1681	hao3	(surname)/ancient place name
苛	1679	ke1	severe/exacting
秽	1676	hui4	dirt/filth
茜	1675	qian4	Rubia cordiolia
搓	1673	cuo1	to rub or roll between the hands or fingers/to twist
芸	1671	yun2	Ruta graveolens
酱	1668	jiang4	jam/thick sauce
赁	1668	lin4	to rent
檐	1667	yan2	eaves
饷	1664	xiang3	soldier's pay
蕉	1663	jiao1	banana
铀	1661	you2	uranium
苔	1660	tai1/tai2	coating (of tongue), moss
赦	1659	she4	to pardon (a convict)
缎	1658	duan4	satin
舷	1654	xian2	sides of boat
筷	1652	kuai4	chopstick
朔	1645	shuo4	beginning/first day of lunar month
婪	1642	lan2	avaricious
紊	1639	wen3/wen4	involved/tangled/disorder, involved/tangled
婿	1635	xu4	son-in-law
寥	1633	liao2	empty/lonesome/very few
兢	1632	jing1	to be fearful/apprehensive
糙	1631	cao1	rough/coarse (in texture)
卦	1628	gua4	divinatory trigram
槐	1627	huai2	Sophora japonica
扒	1623	ba1/pa2	climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside, climb/crawl/snatch
裴	1622	pei2	(surname)
祀	1621	si4	offer sacrifice to
埔	1618	pu3	port
絮	1617	xu4	line with cotton wadding
芭	1615	ba1	a herb/banana
屉	1612	ti4	drawer/tier/tray
痪	1611	huan4	illness/numbness of the limbs
霄	1611	xiao1	firmament/heaven
绽	1607	zhan4	ripped seam
宵	1604	xiao1	night
邑	1604	yi4	city
霖	1602	lin2	continued rain
岔	1599	cha4	branch in a road/astray/diverge
饵	1596	er3	bait/cakes
茄	1596	qie2	eggplant
韧	1593	ren4	annealed/pliable but strong/tough/tenacious
琪	1592	qi2	(white gem)/angel
邹	1591	zou1	(surname)/name of district in Shandong
瑚	1590	hu2	coral
憋	1588	bie1	hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back
殆	1588	dai4	dangerous/perilous/endanger/almost/probably/only
噜	1587	lu1	grumble/chatter
忒	1579	te4/tui1	excessive/to change
忿	1578	fen4	vehement
衅	1578	xin4	offer blood in sacrifice
淳	1577	chun2	genuine/pure/honest
悖	1576	bei4	perverse/rebellious/to rebel
髦	1575	mao2	bang (hair)/fashionable/mane
孜	1573	zi1	hard-working/industrious
粤	1572	yue4	Cantonese/Guangdong
隘	1570	ai4	a pass or defile/narrow/confined/in distress
濒	1569	bin1	near
铮	1565	zheng1	clang of metals/small gong
畸	1562	ji1	fractional remains/odd
剔	1559	ti1	pick (as teeth)
坞	1559	wu4	dock/low wall
篱	1558	li2	a fence
淀	1557	dian4	shallow water, sediment/precipitate
蓦	1555	mo4	leap on or over/suddenly
唬	1554	hu3	intimidate/tiger's roar/to fool
锣	1552	luo2	gong
汀	1552	ting1	sand-bank
趾	1552	zhi3	toe
缉	1549	qi1/ji1	to stitch finely
嫦	1549	chang2	a legendary beauty who flew to the moon/the lady in the moon
斟	1547	zhen1	pour/to deliberate
鞍	1545	an1	saddle
扳	1540	ban1/pan1	to pull or draw (up or out), climb up/pull
拴	1537	shuan1	tie up
诅	1535	zu3	curse/swear (oath)
谟	1534	mo2	plan/to practice
呃	1532	e4/e	hiccough
懦	1531	nuo4	imbecile/timid
逞	1530	cheng3	please oneself/presume on/boast
犁	1530	li2	plow
忏	1530	chan4	feel remorse/regret/repent
拧	1529	ning2/ning3/ning4	to pinch/wring, mistake/to twist, stubborn
亥	1528	hai4	12th earthly branch/9-11 p.m.
佟	1528	tong2	(surname)
叱	1528	chi4	to scold/shout at/to hoot at
舜	1527	shun4	name of an emperor
绊	1525	ban4	to trip/stumble/hinder
龚	1525	gong1	(surname)
腮	1522	sai1	gills/lower part of cheeks
邸	1521	di3	(surname)/lodging-house
椒	1518	jiao1	pepper
蔚	1518	wei4/yu4	Artemisia japonica/luxuriant, (surname)/place name
湛	1514	zhan4	deep/clear (water)
狩	1514	shou4	hunting-dog/imperial tour
眶	1511	kuang4	eye socket
栈	1507	zhan4	warehouse
肮	1499	ang1	filthy, dirty/filthy
瀑	1497	bao4/pu4	shower (rain), waterfall
渣	1495	zha1	dregs
褂	1493	gua4	coat
叽	1492	ji1	grumble
臀	1489	tun2	butt/buttocks
妞	1487	niu1	little girl
巍	1485	wei1	high/lofty/towering/majestic
疚	1480	jiu4	chronic disease
鲤	1479	li3	carp
戎	1479	rong2	(surname)/weapon
肇	1478	zhao4	at first/devise/originate
笃	1473	du3	serious (illness)/sincere/true
辙	1466	che4/zhe2	to remove/to withdraw, rut/track
娴	1466	xian2	elegant/refined
阮	1465	ruan3	Ruan (a surname)
札	1465	zha2	write down, short note
懊	1462	ao4	to regret
焘	1461	dao4/tao1	cover over/to envelope
恤	1459	xu4	give relief/sympathy
疹	1458	zhen3	measles/rash
潇	1457	xiao1	river name/sound of rain and wind
铝	1453	lu:3/lv3	aluminum
涤	1452	di2	wash/cleanse
恃	1445	shi4	rely upon
喽	1445	lou2/lou	subordinates in gang of bandits, (part. expressing chagrin or resentment)
砌	1442	qi4	to build by laying bricks or stones
遁	1436	dun4	disappear/to escape
楞	1436	leng2	corner/square beam
阱	1433	jing3	hole/pitfall
咎	1431	jiu4	blame
洼	1430	wa1	winding ditch, depression/sunken/swamp
炳	1429	bing3	bright/brilliant/luminous
噬	1419	shi4	devour/to bite
枫	1418	feng1	maple
拷	1418	kao3	to beat/to flog/to examine by torture
哆	1417	duo1	quiver/woolen cloth
矶	1417	ji1	breakwater/jetty
苇	1416	wei3	reed/rush/Phragmites communis
翩	1414	pian1	fly fast
窒	1413	zhi4	obstruct/stop up
侬	1412	nong2	you (Shanghai dial.)
靶	1411	ba3	target/mark
胰	1411	yi2	soap
