hanzi	freq	pinyin	eng
机	339823	ji1	machine/opportunity/secret
十	338954	shi2	ten/10
民	335796	min2	the people/nationality/citizen
第	325780	di4	"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
公	318626	gong1	just/honorable (designation)/public/common
此	318534	ci3	this/these
已	318143	yi3	already/to stop/then/afterwards
工	317532	gong1	work/worker/skill/profession/trade/craft/labor
使	316273	shi3	to make/to cause/to enable/to use/to employ/messenger
情	312900	qing2	feeling/emotion/passion/situation
明	309873	ming2	clear/bright/to understand/next/the Ming dynasty
性	309844	xing4	sex/nature/surname/suffix corresponding to -ness or -ity
知	306384	zhi1	to know/to be aware
全	305248	quan2	all/whole/entire/every/complete
三	304272	san1	three/3
又	302933	you4	(once) again/also/both... and.../again
关	302473	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
点	300800	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
正	296810	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle
业	296169	ye4	business/occupation/study
外	295645	wai4	outside/in addition/foreign/external
将	295586	jiang1/jiang4	"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
两	294600	liang3	both/two/ounce/some/a few/tael
高	293542	gao1	high/tall
间	292227	jian1/jian4	between/among/space/(measure word), interstice/separate
由	292199	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
问	288237	wen4	to ask
很	284252	hen3	very/extremely
最	283689	zui4	(the) most/-est
重	282843	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious
并	281616	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with
物	281146	wu4	thing/object/matter
手	280442	shou3	hand/convenient
应	280384	ying1/ying4	ought, (surname)/to answer/to respond
战	278776	zhan4	to fight/fight/war/battle
向	276986	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to
头	274911	tou2/tou	head, suff. for nouns
文	274222	wen2	language/culture/writing/formal/literary
体	273792	ti3	body/form/style/system
政	269878	zheng4	political/politics/government
美	269452	mei3	America/beautiful
相	269125	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture
见	269080	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear
被	268905	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
利	268813	li4	advantage/benefit/profit/sharp
什	267869	shen2/shi2	what, tenth (used in fractions)
二	267506	er4	two/2
等	266296	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
产	265164	chan3	to reproduce/to produce/give birth/products/produce/resources/estate/property
或	260786	huo4	maybe/perhaps/might/possibly/or
新	253921	xin1	meso- (chem.)/new/newly
己	250894	ji3	6th heavenly stem/self
制	250754	zhi4	system/to make/to manufacture/to control/to regulate, manufacture
身	249725	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
果	246831	guo3	fruit/result
加	243648	jia1	to add/plus
西	243619	xi1	west
斯	240900	si1	(phonetic)/this
月	240566	yue4	moon/month
话	240067	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said
合	239277	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join
回	239243	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
特	239091	te2/te4	special/unusual/extraordinary, male animal/special (-ly)
代	231734	dai4	substitute/replace/generation/dynasty/geological era/era/age/period
内	231331	nei4	inside/inner/internal/within/interior
信	230248	xin4	letter/true/to believe/sign/evidence
表	226768	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
化	224729	hua4	to make into/to change into/-ization/to ... -ize/to transform
老	223050	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
